"en","ar"
"Activate","تفعيل"
"Author","كاتب"
"Cancel","إلغاء"
"Character","شخصية"
"Configure","إعداد"
"Close","إغلاق"
"Degrees","درجات"
"Default","إعتيادي"
"Delete","حذف"
"Distance","مسافة"
"Documentation","توثيق"
"Duplicate","استنساخ"
"Error","خطأ"
"Grid Units","وحدات الشبكة"
"Install","تثبيت"
"Elevation","إرتفاع"
"Foundry Virtual Tabletop","Foundry Virtual Tabletop"
"File Path","مسار الملف"
"Height","الارتفاع"
"Hidden","مخفي،"
" Name"," اسم"
"No","لا"
"Notes","ملاحظات"
"Preload","تحميل مسبق"
"Token","رمز"
"Path","مسار"
"Packs","حزمات"
"Permissions","صلاحيات"
"Pixels","بكسلات"
"Ratio","معدل"
"Rotation","دوران"
"Save Changes","حفظ التغييرات"
"Scale","مقياس"
"Sheet","صفحة"
"System","نظام"
"Type","نوع"
"Uninstall","إلغاء التثبيت"
"Update","تحديث"
"URL","عنوان URL"
"Warning","تحذير"
"Width","عرض"
"X-Coordinate","احداثيات X"
"Y-Coordinate","احداثيات Y"
"Yes","نعم"
"Actors Directory","دليل الممثيلن"
"Create Actor","صنع ممثل"
"Search Actors","بحث الممثلين"
"Are you sure you want to exit the Foundry Virtual Tabletop game?","هل أنت متأكد من أنك تريد الخروج من لعبة FoundryVTT؟"
"Clear Chat Log","تفريغ سجل المحادثة"
"Export Chat Log","تصدير سجل المحادثة"
"Flush Chat Log","حذف سجل المحادثة"
"All messages within the chat log will be permanently deleted.","<h3>هل أنت متأكد؟</h3><p dir='rtl'>كل الرسائل في سجل المحادثة سوف تحذف وتفرّغ.</p>"
"{command} is not a valid chat message command.","{command} ليس أمر محادثة صحيح."
"Chat Log","سجل المحادثة"
"To","إلى"
"Pop Out Message","رسالة منبثقة"
"Reveal To Everyone","إظهار للجميع"
"Make Private","جعل خاص"
"Blind GM Roll","رمية منظم لعبة عمياء"
"Default Roll Mode","نمظ الرمي الاعتيادي"
"Public Roll","رمية عامة"
"Private GM Roll","رمية منظم لعبة خاصة"
"Self Roll","رمي ذاتي"
"Rollable Tables","جداول قابلة للرمي"
"Begin Combat","ابدأ القتال"
"Create Encounter","صنع التقاء"
"Delete Encounter","حذف التقاء"
"Encounter","التقاء"
"Activate Previous Encounter","تفعيل التقاء السابق"
"Activate Next Encounter","تفعيل الاتقاء التالي"
"End Combat","انهاء القتال"
"Roll Initiative","رمي المبادرة"
"Reset Initiative","اعادة ضبط المبادرة"
"No Active Encounter","لا يوجد التقاء نشط"
"There is no active Combat Encounter in your currently viewed Scene.","لا يوحد التقاء قتالي نشط في المشهد الظاهر حالياً."
"There are no Combatants remaining in this Encounter which are not defeated.","لا يوجد مقاتلين متبقيين في هذا الالتقاء لم تتم هزيمتهم."
"Not Started","لم يبدأ"
"Tracked Resource","مورد متابع"
"Choose an attribute to track for each combatant.","اختار سمة لمتابعتها لكل مقاتل."
"Round","جولة"
"Rounds","جولات"
"Previous Round","الجولة الماضية"
"Next Round","الجولة التالية"
"Roll NPCs","رمي للشخصيات غير اللاعبة"
"Roll All","رمي للجميع"
"Combat Tracker Settings","إعدادات متابع القتال"
"Save Tracker Settings","حفظ إعدادات المتابع"
"Skip Defeated?","تخطي المهزوم؟"
"Automatically bypass combatants marked as defeated?","تخطي المقاتلين المعلمين بمهزوم تلقائياً؟"
"Toggle Visibility","تبديل الرؤية"
"Mark Defeated","تعليم مهزوم"
"Turn","دور"
"Turns","أدوار"
"End Turn","إنهاء الدور"
"Next Turn","الدور التالي"
"Previous Turn","الدور السابق"
"Unknown Combatant","مقاتل مجهول"
"Create Combatant","صنع مقاتل"
"Defeated","مهزوم"
"Hidden","مخفي"
"Thumbnail Image","صورة مصغرة"
"Initiative Value","قيمة المبادرة"
"Combatant Status","حالة المقاتل"
"Update Combatant","تحديث المقاتل"
"Displayed Name","إظهار الاسم"
"Remove Combatant","إزالة المقاتل"
"Re-roll Initiative","إعادة رمية المبادرة"
"Represented Token","رمز مربوط"
"Compendium Name","اسم الجامع"
"Create Compendium","صنع جامع"
"Create a new Compendium pack in your current World.","صنع رزمة جامع في عالمك الحالي."
"Delete Compendium","حذف الجامع"
"Delete Entry","حذف مدخلة"
"Duplicate Compendium","استنساخ الجامع"
"New Compendium Title","عنوان جامع جديد"
"You may duplicate this compendium into your World to have a local copy of its content which is safe to edit.","يمكنك استنساخ هذا الجامع إلى عالمك لتكون لديك نسخة محلية من محتواها وآمنة للتعديل."
"You must provide a title to create a World Compendium pack.","يجب أن توفر عنواناً لصنع رزمة جامع عالم."
"Import All Content","استيراد جميع المحتويات"
"All of the content from this Compendium pack will be imported into your World to a Folder which you may name.","جميع المحتويات من رزمة الجامع هذا سوف يتم استيرادها إلى عالمك في مجلد تستطيع ان تسميه."
"Importing {number} {type} entries into the {folder} folder. Please be patient.","يتم استيراد {number} {type} مدخلات إلى مجلد {folder}. الرجاء الإنتظار."
"Successfully imported {number} {type} entries into the {folder} folder.","تم استيراد {number} {type} مدخلة بنجاح إلى مجلد {folder}."
"Import Entry","استيراد مدخلة"
"Document Type","نوع المدخلة"
"Each Compendium pack contains a specific type of Document.","كل رزمة جامع تحتوي على نوع معين من المدخلات."
"Toggle Visibility","تبديل الرؤية"
"Toggle Edit Lock","تبديل قفل التعديل"
"You are attempting to unlock for editing a compendium that does not belong to this World. Any changes you make in this compendium pack may be lost if the system or module which owns it is updated. You may wish to duplicate the compendium to your world instead. Do you wish to proceed?","أنت تحاول فتح قفل لتحرير جامع لا ينتمي لهذا العالم. أي تغييرات تقوم بها في رزمة الجامع هذه سوف تفقد إذا النظام أو الوحدة التي تمتلك هذه الرزمة قامت بالتحديث. قد تود أن تستنسخ الجامع في عالمك عوضاً عن ذلك. هل تود المتابعة؟"
"Game Controls Reference","مرجعية تحكم اللعبة"
"This form describes common keyboard and mouse commands used to control various aspects of the Foundry Virtual Tabletop environment. Some controls are only available to a Game Master user, those are highlighted in light purple.","هذه القائمة تصف أوامر لوحة المفاتيح والفأرة المستخدم في التحكم بالعديد من جوانب بيئة FoundryVTT. بعضها متوفر فقط للمستخدم منظم اللعبة، وتم تعليمها باللون البنفسجي الفاتح."
"Select Tokens","اختيار الرموز"
"Select Targets","اختيار الاهداف"
"Measure Distance","قياس المسافة"
"Measurement Controls","التحكم بالقياسات"
"Circle Template","نموذج دائرة"
"Cone Template","نموذج مخروط"
"Rectangle Template","نموذج مستطيل"
"Ray Template","نموذج اشعاعي"
"Clear Templates","مسح النماذج"
"Tile Controls","التحكم بالألواح"
"Select Tiles","اختيار الألواح"
"Place Tile","وضع لوح"
"Tile Browser","متصفح الألواح"
"Drawing Tools","أدوات الرسم"
"Select Drawings","إختيار الرسومات"
"Draw Rectangle","رسم مستطيل"
"Draw Ellipse","رسم بيضوي"
"Draw Polygon","رسم مضلّع"
"Draw Freehand","رسم حر"
"Draw Text","رسم نص"
"Clear Drawings","مسح الرسومات"
"Configure Drawing","اعدادات الرسمة"
"Wall Controls","اعدادت الجدار"
"Draw Walls","رسم الجدران"
"Invisible Walls","جدران مخفية"
"Terrain Walls","جدران تضاريس"
"Ethereal Walls","جدران أثيرية"
"Draw Doors","رسم أبواب"
"Secret Doors","أبواب سرية"
"Rectangular Select Walls","اختيار جدران مستطيل"
"Force Snap to Grid","اجبار محاذاة إلى الشبكة"
"Clone Walls","استنساخ الجدران"
"Clear Walls","مسح الجدران"
"Lighting Controls","إعدادات الإضاءة"
"Draw Light Source","رسم مصدر الإضاءة"
"Clear Lights","مسح الإضاءات"
"Reset Fog of War","إعادة ضبط ضباب الحرب"
"Transition to Daylight","الإنتقال إلى ضوء النهار"
"Transition to Darkness","الإنتقال إلى الظلام"
"Reset Fog of War Exploration?","إعادة ضبط إستكشاف ضباب الحرب؟"
"This will reset fog of war for this Scene for all players.","هذا سوف يعيد ضبط ضباب الحرب لهذا المشهد لجميع اللاعبين."
"Ambient Sound Controls","إعدادات الأصوات البيئية"
"Draw Ambient Sound","رسم الصوت البيئي"
"Clear Sounds","مسح الأصوات"
"Journal Notes","ملاحظات الدفتر"
"Select Notes","إختيار الملاحظات"
"Toggle Notes Display","تبديل ظهور الملاحظات"
"Clear Notes","مسح الملاحظات"
"Clear All Objects","مسح جميع الكيانات"
"Permanently delete all {type} objects from this Scene?","مسح جميع كيانات {type} من هذا المشهد؟"
"General Game Controls","ضوابط اللعبة العامة"
"These controls generally apply across all aspects of Foundry functionality.","هذه الضوابط تطبق عادة على معظم جوانب عمل FoundryVTT."
"Canvas Layer Controls","ضوابط طبقة اللوحة"
"These controls apply when interacting with a specific Canvas layer.","هذه الضوابط تطبق عندما يتم التفاعل مع طبقة لوحة معينة."
"Placeable Object Controls","ضوابط الكيان القابل للوضع."
"These controls apply when interacting with an Object placed on the Canvas.","هذه الضوابط تطبق عندما يتم التفاعل مع كيان موضوع على اللوحة."
"Specialized Controls","الضوابط المتخصصة"
"These controls apply only during specific interactions.","هذه الضوابط تطبق فقط أثناء تفاعلات محددة."
"Mouse Controls","ضوابط الفأرة"
"Keyboard Controls","ضوابط لوحة المفاتيح"
"Toggle Main Menu","تبديل القائمة الرئيسية"
"Close Open Windows","إغلاق النوافذ المفتوحة"
"Toggle Game Pause","تبديل إيقاف اللعبة"
"Cancel Pending Move","إلغاء الحركة المعلقة"
"Move Object","تحريك كيان"
"Pan Canvas","تدوير اللوحة"
"Select Object","اختيار كيان"
"Add or Remove Selected Objects","إضافة أو إزالة الكيانات المختارة"
"Use Active Tool","استخدام الأداة النشطة"
"Cancel Left-Drag Operation","إلغاء عملية السحب بالزر الأيسر للفأرة"
"Zoom Canvas","تكبير/تصغير اللوحة"
"Left Click","نقرة بالزر الأيسر للفأرة"
"Double Left Click","نقرة مزدوجة بالزر الأيسر للفأرة"
"Left-Click Drag","سحب بالزر الأيسر للفأرة"
"Double","مضاعفة"
"Right-Click","نقرة بالزر الأيمن للفأرة"
"Drag","سحب"
"Drop","إسقاط"
"during","أثناء"
"Highlight Canvas Objects","تعليم كيانات اللوحة"
"Pan Canvas","تدوير اللوحة"
"Zoom In","تكبير"
"Zoom Out","تصغير"
"Cycle Tokens or Reset View","التبديل بين الرموز أو إعادة ضبط الرؤية"
"Keyboard Movement (Tokens or Tiles)","Kحركة لوحة المفاتيح (الرموز أو الألواح)"
"Diagonal Movement","الحركة القطرية"
"Face Direction","اتجاه الواجهة"
"Delete Selected Objects","مسح الكيانات المختارة"
"Copy Canvas Elements","نسخ عناصر اللوحة"
"Paste Canvas Elements","لصق عناصر اللوحة"
"Undo Canvas Operation","إلغاء عملية اللوحة"
"Activate Hotbar Slot","تفعيل خانة شريط الوصول السريع"
"Ruler Measurement","قياس المسطرة"
"Measure Distance with Ruler","قياس المسافة بالمسطرة"
"Place Measurement Waypoint","وضع إحداثية قياس"
"Move Token on Measured Path","تحريك الرمز على المسار المُقاس"
"while measuring from a Token","أثناء القياس من الرمز"
"Open Referenced Object Sheet","فتح صحفة الكيان المشار إليه"
"Display Object HUD (If Applicable)","إظهار شاشة تحكم الكيان (إن وجدت)"
"Open Object Configuration Sheet","فتح صفحة إعدادات الكيان"
"Move Controlled Objects","تحريك الكيانات المتحكم بها"
"Cancel Drag Workflow","إلغاء سير عمل السحب"
"Rotate Object (Slow)","تدوير الكيان (بطيء)"
"Rotate Object (Fast)","تدوير الكيان (سريع)"
"Bypass Snap-to-Grid","تخطي المحاذاة إلى الشبكة"
"Mouse-Wheel","عجلة الفأرة"
"Drag and Drop","سحب وإفلات"
"Token Controls","ضوابط الرمز"
"Place Hidden Token","وضع رمز مخفي"
"Set (non-Owned) Token as Target","تعيين رمز (غير مملوك) كهدف"
"Walls Layer Controls","ضوابط طبقة الجدران"
"Chain Wall Creation","صنع جدار متسلسل"
"Select Chained Segments","اختيار تقسيمات متسلسلة"
"Drawing Tool Controls","ضوابط أداة الرسم"
"Confirm Drawing Text","تأكيد رسم النص"
"Cancel Drawing Text","إلغاء رسم النص"
"The dice roll formula {formula} did not produce a numeric outcome.","معادلة رمي النرد {formula} لم تحقق نتيجة رقمية."
"The attribute {match} was not present in the provided roll data.","السمة {match} لم تكن موجودة في بيانات الرمي."
"Drawing Configuration","إعدادات الرسم"
"Default Drawing Configuration","إعدادات الرسم الإعتيادية"
"Configure Default","إعداد الإعتيادي"
"Create Drawing","صنع رسم"
"Update Drawing","تحديث رسم"
"Reset Defaults","إعادة تعيين الإعتيادي"
"Position","موقع"
"Lines","خطوط"
"Fill","ملء"
"Text","نص"
"Adjust the position and visibility of the Drawing.","تعديل الموقع والرؤية للرسم."
"Adjust the outer line work for the Drawing.","تعديل عمل الخط الخارجي للرسم."
"Adjust the interior fill preferences for this Drawing.","تعديل إعدادات الملء الداخلي لهذا الرسم."
"Adjust the text label applied to this Drawing (if any).","تعديل العلامة النصية المطبقة لهذا الرسم (إن وجدت)."
"Author","الكاتب"
"X-Position","الموقع-X"
"Y-Position","الموقع-Y"
"Width","عرض"
"Height","إرتفاع"
"Rotation","دوران"
"Z-Index","المنسب-Z"
"Line Width","عرض الخط"
"Stroke Color","لون الخط"
"Line Opacity","شفافية الخط"
"Smoothing Factor","عامل التنعيم"
"For freehand drawing, the smoothing factor controls the amount of spline smoothing.","للرسم الحر، عامل التنعيم يتحكم بكمية تنعيم الشريحة."
"Fill Types","أنواع الملء"
"None","بدون"
"Solid","صلب"
"Pattern","طرازي"
"Fill Color","لون الملء"
"Fill Opacity","شفافية الملء"
"Fill Texture","نسيج الملء"
"Text Label","علامة النص"
"Font Family","عائلة الخط"
"Font Size","حجم الخط"
"Text Color","لون الخط"
"Text Opacity","شفافية الخط"
"Custom","مخصص"
"Multiply","مضاعفة"
"Add","إضافة"
"Downgrade","تخفيض"
"Upgrade","تحسين"
"Override","تجاوز"
"Configure Active Effect","ضبط التأثير النشط"
"Details","تفاصيل"
"Duration","فترة"
"Effects","تأثيرات"
"Effect Label","عنوان التأثير"
"Effect Icon","أيقونة التأثير"
"Icon Tint Color","لون صبغة الأيقونة"
"Effect Suspended","التأثير معلّق"
"Effect Origin","مصدر التأثير"
"Transfer Effect to Actor","نقل التأثير إلى ممثل"
"Effect Duration (Seconds)","فترة التأثير (ثواني)"
"Effect Start Time","وقت بداية التأثير"
"Effect Duration (Turns)","فترة التأثير (دورات)"
"Combat Encounter","إلتقاء قتالي"
"Effect Start Turn","دور بداية التأثير"
"Attribute Key","مفتاح السمة"
"Change Mode","تغيير النمط"
"Effect Value","قيمة التأثير"
"Submit Changes","تفعيل التغييرات"
"Asleep","نائم"
"Dead","ميت"
"Unconscious","فاقد الوعي"
"Stunned","مصعوق"
"Prone","مستلقي"
"Restrained","مقيد"
"Paralyzed","مشلول"
"Flying","طائر"
"Blind","أعمى/عمياء"
"Deaf","أصم/صماء"
"Silenced","مصموت"
"Afraid","خائف"
"Burning","محترق"
"Frozen","متجمد"
"Shocked","مكهرب"
"Corroding","متآكل"
"Bleeding","ينزف/تنزف"
"Diseased","مريض"
"Poisoned","مسموم"
"Radioactive","إشعاعي"
"Regeneration","تجديد"
"Degeneration","انحطاط"
"Empowered","مقوى"
"Weakened","موهن"
"Targeted","مستهدّف"
"Marked","مُعلّم"
"Cursed","ملعون"
"Blessed","مبارك"
"Fire Shield","ترس ناري"
"Ice Shield","ترس ثلجي"
"Magic Shield","ترس سحري"
"Holy Shield","ترس مقدّس"
"Actor","ممثل"
"Chat Message","رسالة محادثة"
"Combat Encounter","إلتقاء قتالي"
"Item","قطعة"
"Folder","ملف"
"Journal Entry","مدخلة مدونة"
"Macro Command","أمر ماكرو"
"Audio Playlist","قائمة التشغيل الصوتية"
"Scene","مشهد"
"Rollable Table","جدول قابل للرمي"
"User","مستخدم"
"Create New {entity}","صنع {entity} جديد"
"New {entity}","{entity} جديد"
"Create New","صنع جديد"
"Foundry Virtual Tabletop requires a minimum screen resolution of {reqWidth}px by {reqHeight}px or greater. Your display currently has an effective resolution of {width}px by {height}px, as a result many features of the software may not work properly.","FoundryVTT تتطلب دقة شاشة {reqWidth} بكسل في {reqHeight} بكسل أو أعلى. شاشتك حالياً لديها دقة فعلية {width} بكسل في {height} بكسل، وقد ينتج عن ذلك أن بعض خصائص البرنامج ربما لن تعمل بشكل جيد."
"Your browser does not currently support WebGL rendering which is required by Foundry Virtual Tabletop. Ensure that you have hardware rendering and WebGL enabled in your browser.","متصفحك لا يدعم معالجة WebGL المطلوب من قبل FoundryVTT. تأكد من أن المعالجات المادية وWebGL مفعلة في متصفحك."
"You are using a Scene background texture with dimensions {width}px by {height}px. One or both of these dimensions exceeds the maximum texture size of {max}px supported by your device.","أنت تستخدم نسيج خلفية مشهد ذات أبعاد {width} بكسل في {height} بكسل. إحدى أو كلا الأبعاد تتجاوز الحجم الأقصى للنسيج {max} بكسل المدعوم من جهازك."
"The provided server administrator password is invalid. If you have forgotten your configured password you will need to manually delete the <strong>Config/admin.txt</strong> file from your user data location.","مفتاح الوصول الإداري غير صحيح. إذا نسيت كلمة مرورك المعدّة سوف تحتاج إلى إلغاء ملف <strong>Config/admin.txt</strong> من موقع ملفات المستخدم."
"The attempted Token movement collides with at least one Wall.","حركة الرمز الذي تقوم بمحاولتها تتصادم مع جدار واحد على الأقل."
"The request to browse existing packages failed to connect with the Foundry server. Make sure your application allows outbound connections.","طلب تصفح الرزم المتوفرة فشل في الإرتباع بخادم FoundryVTT. تأكد أن تطبيقك يسمح بالصلات الخارجية."
"You are using the grid configuration tool for a scene with no background image. This is not currently recommended and may produce unpredictable results.","أنت تستخدم أداة إعدادات الشبكة لمشهد بلا صورة خلفية. لا ينصح بهذا حالياً وقد يصدر منه نتائج غير متوقعة."
"Acknowledge Agreement","الإقرار بالإتفاقية"
"Agree","أوافق"
"I agree to these terms","أوافق على هذه الأحكام"
"Decline","رفض"
"Create Directory","صنع سجل"
"Toggle Privacy Mode","تبديل وضع الخصوصية"
"Display Mode","وضع العرض"
"List View","عرض القائمة"
"Tiles View","عرض الألواح"
"Thumbnail View","عرض الصور المصغرة"
"Images View","عرض الصور"
"Filter Results","تصفية النتائج"
"S3 Bucket","S3 Bucket"
"Selected","مختار"
"Asset Grid Size","حجم شبكة الأصول"
"Specify the pixel grid size of source tile artwork so it will be automatically resized when placed onto your active Scene.","تحديد حجم شبكة البكسل للوحة العمل الفني المصدر ليتم إعادة تعيين الحكم تلقائياً عند وضعه في المشهد النشط."
"No matching results found in this location.","لا نتائج مطابقة تم إيجادها في هذا الموقع."
"Upload","رفع"
"Search","بحث"
"The file you have attempted to upload is too large for your proxy server to handle.","الملف الذي تحاول رفعه أكبر من قدرة الخادم الوكيل."
"Something went wrong with your file upload request.","حصل خطأ قي طلب رفع ملفك."
"You have uploaded files into a module or system directory. This is generally <strong>unsafe</strong> because updates to the system or module will delete your files.","لقد رفعت ملفات إلى سجل وحدة أو نظام. هذا عادة <strong>غير آمن</strong> لأن التحديثات للنظام أو الوحدة قد تحذف ملفاتك."
"Image or Video Browser","متصفح الصور والفيديو"
"Image Browser","متصفح الصور"
"Video Browser","متصفح الفيديو"
"Audio Browser","متصفح الصوت"
"User Data","بيانات المستخدم"
"Core Data","البيانات الأساسية"
"Amazon S3","Amazon S3"
"Browse Files","تصفح الملفات"
"Game Paused","اللعبة موقفة"
"You cannot take this action while the game is currently paused.","لا يمكنك القيام بهذا الفعل أثناء كون اللعبة موقفة."
"Game invitation link copied to clipboard","تم نسخ رابط دعوة اللعبة إلى الحافظة"
"Share the below invitation links with users who you wish to have join your game. The local invitation link is for users on your local network while the internet link connects via internet on the configured port.","شارك روابط الدعوة أدناه للمستخدمين الذين تود دعوتهم إلى لعبتك. رابط الدعوة المحلي للمستخدمين في شبكتك المحلية بينما رابط الانترنت يربط عبر الانترنت من خلال المنفذ المُعّد."
"Internet","انترنت"
"Local Network","شبكة محلية"
"Game Invitation Links","روابط دعوة اللعبة"
"Create Item","صنع قطعة"
"Delete Item","حذف قطعة"
"Search Items","بحث القطع"
"View Item Artwork","رؤية رسمة القطعة"
"Toggle Visibility State","تبديل حالة الرؤية"
"Toggle Locked State","تبديل حالة الإغلاق"
"Bring to Front","إحضار إلى الأمام"
"Send to Back","إرسال إلى الخلف"
"Journal","مذكرة"
"Search Journal Entries","بحث مدخلات المذكرة"
"Create Entry","صنع مدخلة"
"Text","نص"
"Image","صورة"
"Show Players","إظهار اللاعبين"
"Showed the {mode} content of {title} to {which} players.","إظهار {mode} محتوى {title} إلى {which} اللاعبين."
"Save Entry","حفظ المدخلة"
"Center","وسط"
"Bottom","قاع"
"Top","قمة"
"Left","يسار"
"Right","يمين"
"Light Animation Type","نوع تحريك الضوء"
