"en","ca"
"Create Macro","Crear una macro"
"Delete Macro","Esborrar la macro"
"Edit Macro","Editar la macro"
"Execute Macro","Executar la macro"
"Remove Macro","Eliminar la macro"
"Save Macro","Guardar la macro"
"Search Macros","Cercar macro"
"Reload Application","Recarregar l'aplicació"
"Log Out","Tancar la sessió"
"User Management","Gestionar els jugadors"
"Return to Setup","Tornar a la configuració"
"Bug or Issue Reports","Informe de les errades o els problemes"
"Deactivate All Modules","Desactivar tots els mòduls"
"Module Documentation","Documentació del mòdul"
"Module Management","Gestió dels mòduls"
"Use this form to configure which Modules are active within your current World. Submitting changes to active modules will cause the current session to reload.","Fes servir aquest formulari per configurar quins mòduls són actius en el món de joc actual. Realitzar canvis en els mòduls actius tornarà a carregar la sessió actual."
"The Modules listed below are currently active within this World.","Els mòduls de la llista es troben actius en aquest món."
"No Modules are available within this World. You can view, but do not have permission to modify this list.","No hi ha mòduls disponibles en aquest món. Pot veure la llista, però no té permisos de modificació."
"Filter Modules","Cercar mòdul"
"Save Module Settings","Guardar la configuració de mòduls"
"Dependencies","Dependències"
"This module has {number} inactive dependencies which are required for it to function properly:","Aquest mòdul té {number} dependències que són necessàries per funcionar correctament. Voldries activar-les també?"
"Enable module and its dependencies?","Activar el mòdul i les seves dependències?"
"This module had {number} dependencies which may no longer be required:","Aquest mòdul té {number} dependències que potser ja no són necessàries. Voldries desactivar-les també?"
"Would you like to disable them also?","Vol desactivar-les també?"
"The dependency {missing} is not installed!","La dependència {missing} no està instal·lada!"
"You have enabled the module {module}, but it's dependencies {missing} are not enabled!","S'ha activat el mòdul {module}, però les seves {missing} dependències no estan activades!"
"All Modules"," Tots els mòduls"
"Active Modules","Mòduls actius"
"Inactive Modules","Mòduls inactius"
"Text Anchor Point","Punt d'ancoratge del text"
"Map Note Configuration","Configuració de les notes de mapa"
"Create Map Note","Crear una nota al mapa"
"Entry Icon","Icona de l'entrada"
"Font Size","Mida de la font"
"Font Family","Família de la font"
"Icon Size","Mida de la icona"
"Icon Tint","Matís de la icona"
"Text Label","Etiqueta de text"
"Text Color","Color del text"
"Update Map Note","Actualitzar notes del mapa"
"You do not have sufficient permission to create a Note for {name}.","No tens prou permisos per crear una nota per {name}."
"Players","Jugadors"
"Select Character","Seleccionar personatge"
"Selected Character","Personatge seleccionat"
"Release Character","Alliberar personatge"
"User Configuration","Configuració del jugador"
"Player Color","Color del jugador"
"Player Avatar","Avatar del jugador"
"Pull To Scene","Portar a l'escena actual"
"Save Configuration","Guardar Configuració"
"View Player Avatar","Veure avatar del jugador"
"Kick Player","Expulsar jugador"
"Ban Player","Bloquejar jugador"
"Un-Ban Player","Desbloquejar jugador"
"Create Playlist","Crear una llista de reproducció"
"Delete Playlist","Esborrar la llista de reproducció"
"Edit Playlist","Modificar la llista de reproducció"
"Search Playlists","Cercar llista de reproducció"
"Global Volume Controls","Control del volum general"
"Currently Playing","En reproducció"
"Soundboard Only","Només consola de so"
"Sequential Playback","Reproducció seqüencial"
"Shuffle Tracks","Reproducció aleatòria"
"Simultaneous Playback","Reproducció simultània"
"Play Playlist","Reproduir la llista de reproducció"
"Stop Playlist","Aturar la llista de reproducció"
"Next Sound","Endavant"
"Previous Sound","Enrere"
"Playlists","Llistes"
"Ambient","So ambiental"
"Interface","Interfície"
"Playlist Name","Nom de la llista"
"Playback Mode","Mode de reproducció"
"Fade Duration (ms)","Temps d'atenuació(ms)"
"Playlist Description","Descripció de la llista de reproducció"
"Update Playlist","Actualitzar llista de reproducció"
"Create Sound","Crear un so"
"Edit Sound","Modificar el so"
"Delete Sound","Esborrar el so"
"Loop Sound","En bucle"
"Track Name","Nom del so"
"Audio Source","Origen del so"
"Sound Description","Descripció del so"
"Repeat","Repetir"
"Large File Streaming","Transmissió d'arxius pesats"
"Update Track","Actualitzar so"
"Play Sound","Reproduir el so"
"Pause Sound","Posar en pausa el so"
"Preload Sound","Precarregar el so"
"Resume Sound","Continua el so"
"Sound Volume","Volum del so"
"Sound Stop","Aturar el so"
"Bulk Import","Importació en massa"
"No valid Playlist Sounds were imported from the requested ""{path}"" directory","No s'ha importat cap so de la llista de reproducció de la carpeta ""{path}"""
"Accessibility","Accessibilitat"
"GM Only","Només el director de joc"
"All Players","Tots els jugadors"
"Activate","Activar"
"Audio Playlist","Llista de reproducció d'àudio"
"A Playlist which should automatically begin playing when this Scene is activated.","Una llista de reproducció que es reproduirà automàticament quan s'activi aquesta escena"
"Background Color","Color de fons"
"Background Image","Imatge de Fons"
"Configure the background image and dimensions of the scene's primary map.","Configurar la imatge de fons i les dimensions del mapa principal de l'escena."
"Foreground Image","Imatge de primer pla"
"An optional foreground image which is drawn above other objects in the Scene.","Una imatge de primer pla opcional que es dibuixa a sobre d'altres objectes de l'escena."
"Background Image Scale","Escala de la imatge de fons"
"Use SHIFT+Mousewheel or SHIFT+Up Arrow and SHIFT+Down Arrow to adjust the background image size.","Utilitza Maj+roda del ratolí o Maj+fletxa amunt i Maj+fletxa avall per ajustar la mida de la imatge de fons."
"Configure","Configurar"
"Configure Scene","Configurar l'escena"
"Darkness Level","Nivell de foscor"
"Apply an overlay which darkens the Scene and diminishes light sources to simulate nighttime or dim conditions.","Estableixi la superposició de Foscor que superposi l'escena per simular la nit o llocs amb poca llum."
"Scene Dimensions","Dimensions de l'escena"
"Change Scene Dimensions?","Canviar dimensions de l'escena?"
"You are changing the underlying dimensions of this Scene, if you have already placed objects in this Scene this operation may cause those objects to shift position relative to the background image.","Està canviant les dimensions d'aquesta escena, si ja ha col·locat objectes en aquesta escena aquesta operació pot fer que els objectes canviïn de posició respecte a la imatge de fons."
"Fog Exploration","Exploració de boira de guerra"
"Track the exploration progress of Tokens in this Scene, revealing fog of war for areas which have been explored.","Recordar les zones ja descobertes pels PJ, esvaint la boira de guerra."
"Regenerate Thumbnail Image","Regenerar imatge de miniatura"
"Unrestricted Vision Range","Il·luminació global"
"Reveal all areas that controlled Tokens have direct line of sight to observe. If disabled, vision is restricted to illuminated areas.","Il·luminar totes les àrees d'una escena on el token té una línia de visió."
"Vision Limitation Threshold","Llindar d'il·luminació global"
"Automatically disable the Unrestricted Vision Range setting when the Darkness Level of the Scene exceeds a threshold value.","Desactiva automàticament la il·luminació global quan el nivell de Foscor supera un cert valor."
"Grid Color","Color de la graella"
"Grid Configuration Tool","Eina de Configuració de graella"
"Configure the grid and background image position using the mousewheel and arrow keys, or by manually setting the following fields.","Configura la posició de la graella i de la imatge de fons amb la roda del ratolí i les tecles de fletxa o configurant manualment els camps següents. "
"Grid Opacity","Opacitat de la graella"
"Grid Type","Tipus de graella"
"Gridless","Sense graella"
"Square","Quadrat"
"Hexagonal Rows - Odd","Files Hexagonals - senar"
"Hexagonal Rows - Even","Files Hexagonals - parell"
"Hexagonal Columns - Odd","Columnes Hexagonals - senar"
"Hexagonal Columns - Even","Columnes Hexagonals - parel"
"Grid Size","Mida d'una casella de la graella"
"Use ALT+Mousewheel or ALT+Up Arrow and ALT+Down Arrow to adjust the grid size.","Utilitza ALT+roda del ratolí o ALT+fletxa amunt i ALT+fletxa avall per ajustar la mida de la graella."
"Grid Offset Position","Posició de compensació"
"Use the Arrow Keys to shift the grid offset.","Utilitza les fletxes per moure la graella"
"Grid Scale","Escala de la graella"
"Distance","Distància"
"Units","Unitats de la graella"
"Ambience and Atmosphere","Ambient i atmosfera"
"Configure additional integrations between this scene and Journal Entries, Audio Playlists, or Weather Effects.","Configura integracions addicionals entre aquesta escena i les entrades del diari, les llistes de reproducció d'àudio o els efectes climàtics."
"Details and Dimensions","Detalls i dimensions"
"Configure the basic details for this scene and permissions which control its visibility.","Configura els detalls bàsics d'aquesta escena i els permisos que controlen la seva visibilitat."
"Grid Configuration","Configuració de la graella"
"Configure the grid dimensions which are used to measure token movement in this scene.","Configura les dimensions de la graella que es fa servir per mesurar el moviment dels tokens en aquesta escena."
"Vision and Lighting","Visió i il·luminació"
"Configure the vision, lighting, and fog of war settings which apply to this Scene.","Configura la visió, la il·luminació i la boira de la guerra que s'aplica a aquesta escena."
"Initial View Position","Posició de la vista inicial"
"Capture Current View","Capturar vista actual"
"Set a default camera position that is displayed the first time this Scene is viewed.","Estableixi la posició de la càmera per defecte en presentar l'escena per primer cop."
"Loading {name}","Carregant {name}"
"Navigation Name","Nom a la barra de navegació"
"An alternative name for the Scene that is displayed in the Navigation Bar instead of the actual Scene name.","Nom que veuran els jugadors a la barra de navegació."
"Scene Notes","Notes de l'escena"
"Padding Percentage","Percentatge de farciment"
"pixels","Píxels"
"Preload Scene","Precarregar escena"
"Scene Name","Nom de l'escena"
"View Scene","Veure escena"
"Journal Notes","Notes en el diari"
"A linked Journal Entry which provides notes for the Game Master about this Scene.","Una entrada en el diari vinculada a l'escena que proporciona informació adicional al director de joc."
"Playlist Sound","So de la llista de reproducció"
"You may choose a specific Playlist Sound which should play when this Scene is active, otherwise the entire Playlist will play.","Es pot escollir un so de la llista de reproducció que es reproduirà quan aquesta escena estigui activa, sinò es reproduirà la llista sencera."
"Navigation","Mostrar en la barra de navegació"
"Offset Background","Compensació del fons"
"Horizontal","Horitzontal"
"Vertical","Vertical"
"Token Vision","Visió del token"
"Restrict visibility within this Scene to the shared vision of all controlled Tokens. If disabled, the entire Scene is visible.","Restringeix la visibilitat de l'escena a la visió compartida de tots el tokens controlats. Es mostra l'escena sencera quan es desactiva."
"Toggle Navigation","Alternar navegació"
"units","Unitats"
"Weather Effect","Efecte del clima"
"Configure an active Weather Effect which is present within this Scene.","Seleccioni un efecte atmosfèric per aplicar-ho a l'escena."
"Configure Settings","Configurar paràmetres"
"Controls Reference","Controls del joc"
"Demo Mode","Mode de demostració"
"View Documentation","Veure documentació"
"Invitation Links","Enllaços d'invitació"
"Manage Modules","Administrar mòduls"
"View Active Modules","Veure mòduls actius"
"Configure Game Settings","Opcions del joc"
"Update Software","Actualització del programa"
"Log Out","Desconnectar"
"User Management","Gestionar jugadors"
"Reset Defaults","Reiniciar configuració per defecte"
"Save Changes","Guardar canvis"
"Return to Setup","Tornar a la configuració"
"General Information","Informació general"
"Game Settings","Opcions del joc"
"Help and Documentation","Documentació d'ajuda"
"Game Access","Accés al joc"
"Community Wiki Pages","Pàgina wiki de la comunitat"
"Token Vision Animation","Animació de la visió del token"
"Animate Token vision and light changes during Token movement animations. Disabling this will improve performance for lower-end machines.","Animar la visió i els canvis de llum durant l'animació del moviment del tokens. Desactivar-ho millora el rendiment en ordinadors amb especificacions baixes."
"Light Source Animation","Animació de la font de llum"
"Allow light source animations. Disabling this will improve performance for lower-end machines.","Permetre animacions de fonts de llum. Al desactivar-ho es millora el rendiment en ordinadors amb especificacions baixes."
"Disable Pixel Resolution Scaling","Desactiva l'escalat de la resolució"
"Disable automatic scaling of the canvas resolution to the pixel density of the display device. This will result in a reduction in visual quality but an improvement in application performance for high-density displays.","Desactiva l'escalat automàtic del llenç de joc a la densitat de píxels de la pantalla. Això produeix una reducció de la qualitat visual, però millora el rendiment de l'aplicació en pantalles d'alta densitat."
"Language Preference","Preferència d'idioma"
"Change the displayed language for Foundry Virtual Tabletop.","Canvia l'idioma en el qual es mostra Foundry Virtual Tabletop."
"Left-Click to Release Objects","Clic esquerre per alliberar objectes"
"When enabled, a left click on empty canvas space will release any currently controlled objects. If disabled, objects are released by selecting an empty space, shift-clicking the object, or pressing the escape key.","Activat: fes clic esquerre en un espai buit del llenç de joc per alliberar qualsevol objecte controlat actualment. Desactivat: Els objectes s'alliberen seleccionant un espai buit, fent Maj+clic esquerre en l'objecte o prement la tecla d’escapada."
"Disable Game Canvas","Escena del joc desactivada"
"The game canvas which provides a visual representation of the virtual tabletop can be disabled. This allows for low-end machines to use a subset of software features.","L'escena del joc que simula una representació visual de la taula virtual es pot desactivar. Això permet que els ordinadors de gamma baixa puguin utilitzar algunes de les funcionalitats del programari."
"Enable Chat Bubbles","Activar bombolles de xat"
"Configure whether or not chat bubbles will be displayed above Tokens for in-character and emote type chat messages.","Estableix si es mostren bombolles de xat sobre el token pels missatges del personatge i les seves reaccions."
"Pan to Token Speaker","Centrar la vista en el token"
"Configure whether to automatically pan the camera to a speaking token when it displays a chat bubble.","Estableix si s'ha de centrar la càmera automàticament en el token que parla quan se li mostra una bombolla de xat."
"Maximum Framerate","FPS màxims"
"Limit the maximum framerate at which Foundry Virtual Tabletop will render canvas updates. Lowering this value may improve application performance for less powerful hardware.","Limita la velocitat de fotogrames per segons que Foundry Virtual Tabletop processarà les actualitzacions del llenç de joc. Reduir aquest valor pot millorar el rendiment de l'aplicació en hardware menys potent."
"Zoomed Texture Antialiasing","Suavitza la textura ampliada"
"Compute mipmaps to antialias sprite textures at lower levels of zoom. This is a client setting as different users may prefer different visual styles.","Calcular ""mipmaps"" per suavitzar les textures de personatge en els nivells més baixos de zoom. Es tracta d'un ajustament a nivell client, ja que els usuaris poden tenir diferents estils visuals."
"Enable Soft Shadows","Activar ombres suaus"
"Enable soft shadows for more beautiful dynamic lighting, or disable it for improved performance on machines with lower-end hardware.","Activa ombres suaus per una il·luminació dinàmica més maca, desactivar aquesta opció millorarà el rendiment en ordinadors amb hardware menys potent."
"Core Settings","Paràmetres bàsics"
"Module Settings","Paràmetres de mòduls"
"System Settings","Paràmetres del sistema"
"Token Drag Vision","Visió en arrossegar el token"
"When enabled, vision and lighting for a Token is previewed in real time during a left-click drag workflow. This is disabled by default because it may promote undesirable meta-gaming behaviors.","Quan s'activa, la visió i la il·luminació per un token es previsualitza en temps real quan s'arrossega amb el botó esquerre. Desactivat per defecte perquè pot promoure comportaments de metajoc no desitjats."
"Default Token Configuration","Configuració dels tokens"
"Configure Default Token Settings","Configuri els paràmetres predeterminats dels tokens"
"Configure default Token values for newly created Actors.","Configuri els valors predeterminats pels tokens dels personatges creats recentment."
"Reset User role permission configuration to default values.","Reinicia la configuració de permisos d'usuari als valors per defecte."
"Updated User role permission configuration.","Actualitza la configuració de permisos d'usuari."
"Core Software Version","Versió del programa principal"
"If an update to the core Foundry Virtual Tabletop software is available, you may apply it here. You are currently using version {coreVersion}.","Si hi ha disponible una actualització del programa principal de Foundry Virtual Tabletop, pots actualitzar aquí. Actualment està emprant la versió {coreVersion}."
"Default Language","Idioma per defecte"
"You may choose a default language for the application by choosing a module which provides the core translation files for that language.","Pots triar un idioma predeterminat per l'aplicació triant un mòdul que proporcioni els arxius de traducció bàsics per aquell idioma."
"Software Configuration","Configuració del programa"
"You must install a game System before you can create a new World","Cal instal·lar un sistema de joc per poder crear un món nou."
"Software Update","Actualització del programa"
"A {type} update to {channel} version {version} is now available!","Tens disponible una actualització de programari per {channel} versió {version}!"
"Configuration","Configuració"
"These fields customize the behavior of the Foundry Virtual Tabletop application. Changes will require the server to restart.","Aquí es personalitza el servidor de Foundry VTT. Vagi amb compte al fer canvis, haurà de reiniciar el programa perquè els canvis tinguin efecte."
"Optimize Static Files","Optimitzar arxius estàtics"
"Reduce network traffic by serving minified static JavaScript and CSS files. Enabling this setting is recommended for most users, but module developers may wish to disable it.","Redueix l'ús de xarxa amb arxius JavaScript i CSS estàtics. Es recomana activar aquesta opció per la majoria dels usuaris, però potser alguns desenvolupadors la vulguin desactivar."
"Add-on Modules","Mòduls"
"Game Systems","Sistemes de joc"
"Configuration and Setup","Configuració general"
"Update Software","Actualitzar"
"Update System","Actualització del sistema"
"An update to the Core Software is available, Return to Setup in order to apply it!","Hi ha disponible una actualització del programari base (core); torna al menú principal, ves a la pestanya actualització per aplicar-la."
"An update to the System is available, Return to Setup in order to apply it!","Hi ha disponible una actualització del sistema; torna al menú principal, ves a la pestanya sistema per aplicar-la."
"Update All","Actualitzar-ho tot"
"Software Update Channel","Canal d'actualització de programari"
"You may choose an update channel to control the types of updates you wish to receive for the core Foundry Virtual Tabletop software. If you do not have a specific reason to change this, it is recommended to consume the Release channel.","Pot triar un canal d'actualització per controlar el tipus d'actualitzacions que desitja rebre pel programa principal de Foundry Virtual Tabletop. Si no té una raó específica per canviar-ho, es recomana mantenir-se en el canal públic."
"Update","Actualitzar"
"Check For Update","Buscar actualitzacions"
"Alpha (Unstable)","Alfa (inestable)"
"Beta (Release Candidate)","Beta (candidata a llançament)"
"Release (Stable)","Pública (estable)"
"Checking the Force Update box will force your version to the requested channel. Do not use this option unless you know exactly what you are doing.","Marcar la casella forçar actualització per forçar l'actualització a la versió del canal sol·licitat. No faci servir aquesta opció a no ser que sàpiga exactament que està fent."
"Uninstall","Desinstal·lar"
"Create World","Crear un món"
"Delete World","Esborrar món"
"Edit World","Editar món"
"Launch World","Executar món"
"Game Worlds","Mons"
"Requires Update","Necessita actualització"
"Requires System Update","Necessita actualització del sistema"
"Requires Dependency","Necessita dependència"
"Requires Core Update","Necessita actualització principal"
"Locking a Package prevents it from being uninstalled or updated","El bloqueig d’un paquet impedeix la seva desinstal·lació o actualització"
"Updated version available at new installation URL","Actualitza l'URL d'instal·lació"
"A newer version of ""{package}"" is available at a different installation URL. This happens when the package hosting location or the author has changed.","S'ha actualitzat l'URL d'instal·lació de ""{package}"". Això passa quan l’allotjament de la font empaquetada o de l’autor ha canviat."
"Prior Manifest URL (Version {version})","URL del manifest anterior"
"Updated Manifest URL (Version {version})","URL del manifest actualitzat"
"Would you like to switch to the new manifest URL? (this is recommended)","Vol canviar a la nova URL del manifest? (molt recomanable)"
"Save Application Configuration","Desar la configuració"
"Modifying these configuration options will cause the server to be shut down and require that you restart the server manually. Do you wish to continue?","Quan es canvien aquestes opcions de configuració, el servidor s'apagarà i caldrà reiniciar-lo. Vol continuar?"
"The Foundry Virtual Tabletop server has been terminated to apply changes. You must restart manually.","El servidor de FoundryVTT s'ha aturat per aplicar els canvis. Cal reiniciar-lo."
"Current Version","Versió actual"
"Force Update?","Forçar"
"Compatibility Unknown","Compatibilitat desconeguda"
"Compatibility Risk","Risc d'incompatibilitat"
"Compatibility Risk ({version})","Risc de compatibilitat ({versió})"
"Manifest URL"," URL el manifest"
"You can install any package by providing a direct link to its JSON manifest URL.","Permet instal·lar un paquet proporcionant un enllaç al seu 'manifest.json'."
"Install Module","Instal·lar un mòdul"
"Install System","Instal·lar un sistema"
"{type} {name} was installed successfully","instal·lació amb èxit"
"Installation failed: {message}","La instal·lació ha fallat. Per més informació, revisi els missatges d'error a la consola."
"Install World","Instal·lar un món"
"uninstalled successfully","desinstal·lació amb èxit"
"Uninstallation failed","La desinstal·lació ha fallat. Per més informació, revisi els missatges d'error a la consola."
"updated successfully","actualitzat amb èxit"
"Update failed","L'actualització ha fallat. Per més informació, revisi els missatges d'error a la consola."
"Loading Available Packages","Carregant mòduls disponibles"
"Filter Packages","Filtrar els paquets"
"You can filter available packages by name.","Pot filtrar els paquets disponibles cercant pel seu o títol."
"Package Categories","Categories de mòduls"
"Installed","Instal·lat"
"Not Owned","Sense propietari"
"Package Name","Nom del paquet"
"All Packages","Tots els mòduls"
"Installed Only","Només instal·lats"
"Uninstalled Only","Només no instal·lats"
"{title} has {number} dependencies which are not yet installed.","El mòdul que ha instal·lat té {number} dependències que encara no estan instal·lades."
"Install Package Dependencies","Instal·lar dependències dels mòduls"
"You may not be able to use this package if these dependencies are not present. Do you wish to install them automatically?","Es possible que no pugui utilitzar aquest mòdul si les dependències no estan instal·lades. Vol instal·lar-les automàticament?"
"You have chosen not to install the required dependency packages for {title}. You will need to install them manually.","Ha triat no instal·lar les dependències necessàries per {title}. Haurà d'instal·lar-les manualment."
"Successfully installed {title} and {number} dependencies.","Les dependències de {title} i {number} s'han instal·lat amb èxit."
"An update is available for {name} but cannot be installed because it requires core software version {vreq} and you are currently using version {vcur}.","Existeix una actualització disponible per {name} però no pot ser instal·lada perquè cal una versió del programa principal {vreq} i vostè actualment està fent servir la versió {vcur}."
"Delete {type}: {title}","Esborra {type}: {title}"
"Are you sure you want to delete the {type} <strong>{title}</strong>?","Està segur que vol esborrar el {type} <strong>{title}</strong>?"
"<strong>Warning:</strong> This will permanently delete your world content and <strong>can not</strong> be un-done. Are you sure you wish to do this?</strong>.","<strong>Atenció: </strong> s'esborrarà permanentment el contingut del vostre món i <strong>no es podrà</strong> recuperar. Està segur que vol continuar?"
"Type the exact title of your world <strong>{title}</strong> in the box below to proceed.","Escriu al quadre següent el títol del món <strong> {title} </strong> per continuar."
"<strong>Warning:</strong> This operation cannot be un-done.","<strong>Atenció:</strong> aquesta operació no es pot cancel·lar."
"You must enter the exact World name to confirm the deletion request.","Cal introduir el nom exacte del món per confirmar la sol·licitud de supressió."
"Update","Buscar actualitzacions"
"Blocked","Bloquejat"
"Update","Actualització"
"Current","Actual"
"Updating","Actualitzant"
"Updated","Actualitzat"
"Downloading Update","Descarregar l'actualització"
"Download Complete","Descarrega completada"
"Extracting Update","S'està comprovant l'actualització"
"Extraction Complete","Comprovació completada"
"Cleaning Directory","Neteja d’arxius"
"Cleaning Complete","Neteja completada"
"Installing Update","Instal·lació l'actualització"
"Installation Complete","Instal·lació completada"
"In order to update Foundry Virtual Tabletop you will need to be connected to the internet and have a valid software license.","Per actualitzar FoundryVTT, cal estar connectat a Internet i tenir una llicència vàlida"
"This update is a new major version of the Foundry Virtual Tabletop software. Installing this update will require some installed modules which may not yet be compatible to be disabled.","Aquesta actualització suposa la instal·lació d'una nova versió de Foundry Virtual Tabletop. Per instal·lar aquesta actualització es necessari desactivar alguns mòduls que encara no són compatibles."
"Download Update {version}","Descarregar actualització {version}"
