"en","ca"
"An update to Foundry Virtual Tabletop version {version} is available!","Està disponible una actualització de Foundry Virtual Tabletop, versió {version}!"
"You are not allowed to update this instance of Foundry Virtual Tabletop because it was launched in --noupdate mode.","No tens autorització per actualitzar aquesta instància de FoundryVTT perquè es va llançar en mode --noupdate."
"No software update is currently available on the requested update channel.","Actualment no hi ha cap actualització de programari disponible al canal d’actualització sol·licitat."
"Package Update Log","Registre d’actualitzacions de paquets"
"Package","Paquets"
"Version Change","Canvi de versió"
"World Data Migration Required","Es requereix la migració de les dades del món"
"<p>Launching the world <strong>{world}</strong> will migrate its data model from an older core software version {oldVersion} to the currently installed version {newVersion}.</p><p>As part of this process, <strong>{nIncompatible} out of {nModules} installed modules</strong> which may not yet be compatible with the new version will be automatically disabled. You may re-enable them manually if you wish.</p><p>Please check for any available updates to your game systems and modules, and please be sure to periodically back up your critical world data. Would you like to proceed?</p>","<p>Executar el món <strong>{world}</strong> migrarà el seu model de dades d'una versió de FoundryVTT antiga {oldVersion} a la versió instal·lada {newVersion}.</p><p>Com a part d'aquest procés, <strong>{nIncompatible} de {nModules} mòduls instal·lats</strong> podrien no ser compatibles amb la nova versió i es desactivaran automàticament. Pot tornar a activar-los manualment si així ho desitja.</p><p>Si us plau, comprovi si hi ha actualitzacions disponibles pels seus sistemes de joc i els seus mòduls. Asseguris de fer còpies de seguretat periòdiques de les dades sensibles del seu món. Vol continuar?</p>"
"Foundry Virtual Tabletop &bull; Administrator Access","Foundry Virtual Tabletop &bull; Accés d'administrador"
"Administrator Password","Contrasenya d'accés d'administrador"
"You must provide the administrator password in order to access application setup.","Cal una contrasenya d'accés especial per accedir a aquesta pantalla de configuració."
"You may assign a special administrator password which is required in order to access this setup screen.","Una contrasenya restringeix l'accés a aquesta pantalla de configuració."
"Admin Log Out","Tancar la sessió d'administrador"
"AWS Configuration Path","Ruta de Configuració d'AWS"
"You may provide an AWS configuration file for S3 integration. The path is absolute or relative to the Config subdirectory of user data.","Permet proporcionar un arxiu de configuració d'AWS per la integració de S3. La ruta és absoluta o relativa al subdirectori 'Config' de dades d'usuari."
"Port","Port"
"You may choose which port Foundry Virtual Tabletop uses for TCP connection traffic and enable or disable Universal Plug and Play (UPnP).","Permet triar quin port utilitzarà Foundry Virtual Tabletop pel trànsit de connexió TCP i activar o desactivar Universal Plug and Play (UPnP)."
"Enable UPnP?","Activar UPnP?"
"User Data Path","Ruta de dades d'usuari"
"Configure the location where your user data including worlds, systems and modules are stored.","Establir la ubicació on s'emmagatzemaran les seves dades d'usuari, inclosos mons, sistemes i mòduls."
"Default World","Món per defecte"
"You may choose one of your available worlds to automatically launch when the software is started.","Permet triar un dels seus mons per executar-lo automàticament quan s'iniciï el programa."
"SSL Certificate","Certificat SSL"
"SSL Private Key","Clau privada SSL"
"You may run the server using secure socket layer (SSL) encryption by providing paths to certificate and key files. Paths are absolute or relative to the Config subdirectory in user data.","Permet executar el servidor mitjançant SSL proporcionant les rutes a certificats i contrasenyes. Aquests són absolutes o relatives al subdirectori 'Config' de dades d'usuari."
"JavaScript","JavaScript"
"CSS","CSS"
"Compendium","Compendi"
"Localization","Localització"
"Version","Versió"
"Core Version","Versió del core"
"Timed Out","S’ha esgotat el temps"
"Current Players","Jugadors actuals"
"Join Game Session","Unir-se a la partida"
"Game Details","Detalls de la sessió"
"Return to Setup","Torna al menú inicial"
"World Description","Descripció del món"
"Next Session","Propera sessió"
"Select User","Escull el jugador"
"User Password","Contrasenya"
"You are authenticated as a server administrator user.","Està autenticat com a administrador del servidor."
"The requested User, ""{user}"", does not exist!","L'usuari ""{user}"" no existeix!"
"Invalid password provided for {user}!","La clau per {user} no és valida!"
"{user} does not have permission to access this World!","{user} no té permisos per accedir a aquest món!"
"Login as {user} successful, joining game!","Sessió iniciada com {user}, afegit al joc!"
"This Sheet","Aquesta fitxa"
"Default Sheet","Fitxa per defecte"
"Override which sheet type you would like to use for this specific entity.","Canvia la fitxa que es vol fer servir per a aquest personatge en concret."
"Set the default sheet type used for this entity type (GM Only).","Determina la fitxa per defecte que es farà servir per a aquesta mena de personatge (només DJ)."
"You do not have sufficient permissions to view this entity sheet.","No té permisos suficients per veure aquesta fitxa de personatge."
"Save Sheet Configuration","Guardar la configuració de la fitxa"
"View Character Artwork","Veure la imatge del personatge"
"Collapse or Expand","Contraure o desplegar"
"Delete","Esborrar"
"This {type} will be permanently deleted and cannot be recovered.","Aquesta {type} serà esborrat permanentement."
"Duplicate","Duplicar"
"Export Data","Exportar dades"
"Ambient Sound Configuration","Configuració de so ambiental"
"Configure the ambient sound to play an audio file when tokens move within it's radius.","Configuri el so ambiental, especificant quin arxiu d'àudio ha de reproduir-se quan els tokens entrin dins del seu radi d'abast."
"Create Ambient Sound","Crear un so ambiental"
"Update Ambient Sound","Actualitzar so ambiental"
"Source File Path","Ruta de l'arxiu"
"path/to/audio.mp3","arborescence/vers/audio.mp3"
"Effect Radius","Radi d'efecte"
"Sound Type","Tipus de so"
"Local Sound","So ambiental local"
"Global Sound","So ambiental global"
"Volume Easing","Atenuació de volum"
"Adjust the volume level of the sound as Tokens move closer to the origin.","Ajustar el nivell de volum del so ambiental en funció de la distància amb el seu origen."
"Maximum Volume","Volum màxim"
"Define the maximum volume of the sound at it's origin point (if easing) or everywhere in the area.","Defineix el volum màxim del so en el seu punt d'origen (si es fa servir l'opció d'atenuació) o en qualsevol lloc de l'àrea."
"New Sound","Nou so"
"Darkness Activation Range","Interval d'activació de la foscor"
"You may specify a range of darkness levels during which this ambient sound will be audible.","Es pot especificar un interval d’activació a causa de la foscor per a la qual se sentirà aquest so ambiental."
"Clear Folder","Esborrar la carpeta"
"Folder Color","Color de la carpeta"
"Create Folder","Crear una carpeta"
"Collapse All Folders","Reduir totes les carpetes"
"Delete All","Esborrar-ho tot"
"This folder and its contents will be permanently deleted and cannot be recovered.","Aquesta carpeta i el seu contingut serà <strong>esborrada permanentment</strong> i no es podrà recuperar."
"Edit Folder","Editar carpeta"
"Export to Compendium","Exportar al Compendi"
"Folder Name","Nom de la carpeta"
"Remove Folder","Eliminar la carpeta"
"This folder will be permanently deleted and its contents will be moved to its parent folder.","Aquesta carpeta serà esborrada i el seu contingut es mourà a la carpeta mare."
"Alphabetical","Alfabètic"
"Manual","Manual"
"Sorting Mode","Mode d'ordenació"
"Update Folder","Actualitzar la carpeta"
"Export Content","Exportar el contingut"
"You may export contained entities from this folder into an unlocked Compendium pack of the appropriate type.","Pot exportar les entitats contingudes en aquesta carpeta a un paquet de compendi no bloquejat del tipus adequat."
"Destination Pack","Paquet de destí"
"Merge By Name?","Fusionar per nom?"
"There are no unlocked compendium packs available for {type} entities which you can export to.","No hi ha cap paquet de compendi no bloquejats disponible on exportar les entitats {type}."
"Create Rollable Table","Crear una taula dinàmica"
"Create a new Rollable Table entity using the contents of this Folder as table results?","Crear una nova taula dinàmica utilitzant el contingut d'aquesta carpeta com a resultats de la mateixa?"
"None","Cap"
"Limited","Limitada"
"Observer","Espectador"
"Owner","Propietari"
"Default","Per defecte"
"No Change","Sense Canvis"
"All Players","Tots els jugadors"
"Configure Permissions","Configurar permisos"
"Open Permission Configuration","Obrir configuració de permisos"
"Fine tune the permitted actions which are allowed to Users for each role.","Determini les accions permeses als usuaris en base a cada rol."
"Permission Configuration","Configuració de permisos"
"Configure which User role has permission to perform which action. Note that some actions cannot be disabled for Game Master users. Some changes may not take effect until the game is reloaded.","Configuri quin rol d'usuari té permís per fer cada acció. Tingui en compte que algunes accions no es poden desactivar pels usuaris ""Game Master"". Alguns canvis poden no tenir efecte fins que el programa es torni a carregar."
"Configure access for all Entities within this Folder. Changes will be applied to all contained Entities, excluding the contents of sub-folders.","Configurar l'accés per totes les entitats dins d'aquesta Carpeta. Els canvis s'aplicaran a totes les entitats contingudes, excloent el contingut de les subcarpetes."
"Configure access to this specific Entity, allowing each User to be assigned a different level of visibility.","Configurar l'accés a aquesta entitat específica, permetent que a cada usuari se li assigni un nivell d'accés diferent."
"Permission","Permís"
"User Role Permissions","Permisos de rol d'usuari"
"Reset Defaults","Restablir configuració per defecte"
"Save Configuration","Guardar configuració"
"Allow Broadcasting Audio","Permetre transmissió d'àudio"
"Allow players with this role to broadcast audio when using A/V chat integration.","Permetre als jugadors amb aquest rol transmetre àudio en l'emprar la integració de xat A/V."
"Allow Broadcasting Video","Permetre transmissió de vídeo"
"Allow players with this role to broadcast video when using A/V chat integration.","Permetre als jugadors amb aquest rol transmetre vídeo en l'emprar la integració de xat A/V."
"Create New Actors","Crear personatges"
"Allow players with this role to create new Actors in the World.","Permetre als jugadors amb aquest rol crear nous personatges en el món."
"Use Drawing Tools","Emprar eines de dibuix"
"Allow players with this role to create Drawings using the drawing tools.","Permetre als jugadors amb aquest rol crear dibuixos emprant les eines de dibuix."
"Create New Items","Crear objectes"
"Allow players with this role to create new Items in the World.","Permetre als jugadors amb aquest rol crear nous objectes en el món."
"Use File Browser","Navegar per l'explorador d'arxius"
"Allow players with this role to browse through available files in the File Browser.","Permetre als jugadors amb aquest rol navegar pels arxius disponibles en el Selector d'arxius."
"Upload New Files","Pujar nous arxius"
"Allow players with this role to upload content to the server using the File Browser.","Permetre als jugadors amb aquest rol carregar contingut al servidor utilitzant el Selector d'arxius."
"Create Journal Entries","Crear entrades en el diari"
"Allow players with this role to create new Journal Entries in the Journal sidebar.","Permetre que els jugadors amb aquest rol puguin crear noves entrades en la barra lateral del diari."
"Use Script Macros","Fer servir macros"
"Allow players with this role to use JavaScript macros which access the API.","Permetre als jugadors amb aquest rol fer servir macros de JavaScript que accedeixin a l'API."
"Whisper Private Messages","Xiuxiuejar missatges privats"
"Allow players with this role whisper private messages that the Game Master cannot see.","Permetre als jugadors amb aquest rol xiuxiuejar Missatges privats que el director de joc no pot veure."
"Create Map Notes","Crea notes sobre les escenes"
"Allow users with this role to create Note objects from Journal Entries which they own.","Permet als jugadors amb aquest rol crear notes a partir dels objectes que posseeixen."
"Modify Configuration Settings","Modificar paràmetres de configuració"
"Allow players with this role to modify game settings and enable or disable modules.","Permetre als jugadors amb aquest rol modificar la configuració del joc i activar o desactivar mòduls."
"Display Mouse Cursor","Mostrar cursor del ratolí"
"Display the position of the player's mouse cursor which illustrates where the user is looking on the canvas.","Mostrar la posició del cursor del ratolí del jugador, el que mostra en quina part del llenç està el ratolí de l'usuari."
"Display Ruler Measurement","Mostrar el regle per mesurar distàncies"
"Display measurement using the ruler tool to other connected players.","Mostri les mesures fent anar l'eina de regle per altres jugadors connectats."
"Create Measured Template","Crear plantilles de mesura"
"Allow players with this role to create templates for area-of-effect measurement.","Permetre als jugadors amb aquest rol crear plantilles per la mesura d'àrees d'efecte."
"Create New Tokens","Crear tokens"
"Allow players with this role to place Tokens for Actors they own on the game canvas.","Permetre als jugadors amb aquest rol col·locar els tokens dels personatges que posseeixen en el llenç de joc."
"Configure Token Settings","Configurar paràmetres dels tokens"
"Allow players with this role to configure the settings for Tokens that they own.","Permetre als jugadors amb aquest rol configurar els paràmetres del tokens que posseeixen."
"Open and Close Doors","Obrir i tancar portes"
"Allow players with this role interact with doors defined on the Walls Layer.","Permetre que els jugadors amb aquest rol interactuïn amb les portes definides en la capa de parets."
"Import Data","Importar dades"
"Create Scene","Crear una escena"
"Search Scenes","Cercar escena"
"Chat Log","Xat"
"Combat Tracker","Combat"
"Scenes Directory","Escenes"
"Actors Directory","Personatges"
"Items Directory","Objectes"
"Journal Entries","Diari"
"Audio Playlists","Reproducció"
"Compendium Packs","Compendis"
"Game Settings","Opcions"
"Rollable Tables","Taules"
"View Token Artwork","Veure imatge dl token"
"Jump To Pin","Anar a la xinxeta"
"Animate Roll Tables?","Animar taules Dinàmiques?"
"Configure whether to display a roulette-style animation when drawing from a Roll Table.","Estableixi si vol mostrar una animació a l'estil ruleta en les taules dinàmiques."
"Create Table","Crear una taula"
"Table Description","Descripció de la taula"
"Display Roll to Chat?","Mostrar tirada en el xat?"
"Roll Table Formula","Fórmula de la tirada de la taula"
"Search Tables","Cercar taula"
"Table Configuration","Configuració de la taula"
"Normalize Result Weights","Normalitzar ponderació de resultats"
"Draw with Replacement?","Mantenir resultats anteriors de la taula"
"Reset","Restablir"
"Add New Result","Afegir un nou resultat"
"Result Type","Tipus de resultat"
"Result Details","Detalls del resultat"
"Result Description","Descripció del resultat"
"Delete Result","Esborrar el resultat"
"Weight","Pes"
"Range","Interval"
"Roll","Tirar"
"Toggle Drawn Status","Activar/Desactivar resultat"
"Update","Actualitzar"
"Cone Template Type","Forma de la vora de la plantilla con"
"Choose how the area of effect for cone templates should be defined.","Defineix la forma en què acaba la plantilla de con."
"Flat","Plana"
"Round","Rodona"
"Tile Configuration","Configuració de la rajola"
"Basic","General"
"Configure this tile sprite which is displayed above the Scene background.","Configuració de la rajola que es mostra a sobre del fons de l'escenari."
"Overhead","Superposa"
"Additional attributes which apply if the Tile is overhead in the Foreground.","Configuració addicional si la rajola se superposa al primer pla."
"Animation","Animació"
"Additional attributes which apply if the Tile uses an animated video texture.","Configuració addicional si la rajola és un vídeo."
"Tile Image or Video","Imatge o vídeo"
"Tile Opacity","Opacitat de la rajola"
"Tint Color","Matís de color"
"Is Overhead?","Superposa"
"Occlusion Mode","Mode d'eliminació de parts ocultes"
"None (Always Visible)","Cap (sempre visible)"
"Fade (Entire Tile)","Fosa (mosaic complet)"
"Roof (Blocks Vision and Lighting)","Sostre (afecta la visió i la vista)"
"Radial (Surrounding Token)","Radial (envoltant el token)"
"Occlusion Alpha","Alfa (ocultació)"
"Loop Video","Vídeo en bucle"
"Autoplay Video","Reproducció automàtica del vídeo"
"Video Volume","Volum del vídeo"
"Assign Token","Assignar el token"
"You must select one existing Token to assign as the new prototype configuration.","Cal seleccionar un token existent per assignar-lo com la nova configuració de prototip."
"Updated prototype Token configuration for {name}","S'ha actualitzat el token a la configuració de prototip {name}"
"Attribute Bars","Barres d'atributs"
"Single Values","Valors individuals"
"Represented Actor","Personatge representat"
"Token Disposition","Disposició del token"
"Configure which Actor this Token is associated with.","Determina amb quin actor està associat aquest token."
"Link Actor Data","Vincular dades del personatge"
"Token Name","Nom del token"
"Display Name","Mostrar nom"
"Alternate Actor Tokens","Tokens d'actor alternatius"
"Configure the Token image and its displayed size and scale.","Configura la imatge del token i la mida i l'escala en què es mostra."
"Token Image Path","Ruta de la imatge del token"
"Mirror Image Horizontally","Reflectir horitzontalment"
"Mirror Image Vertically","Reflectir verticalment"
"Token Opacity","Opacitat del token"
"Configure the Token's position, orientation, and elevation.","Defineix la ubicació, orientació i elevació del token."
"Lock Rotation","Bloquejar rotació"
"Randomize Wildcard Images","Imatge aleatòria (utilitzar * en la ruta)"
"Configure the resource bars which are tracked for the Token.","Determini les barres de recursos a mostrar del token."
"Bar 1 Attribute","Barra 1, atribut"
"Bar 1 Data","Barra 1, dades"
"Bar 2 Attribute","Barra 2, atribut"
"Bar 2 Data","Barra 2, dades"
"Display Bars","Mostrar barres"
"Token Configuration","Configuració del token"
"Prototype Token","Token del prototip"
"Tint Color","Matís de color"
"Update Token","Actualitzar el token"
"Configure the vision capability and light emission of this Token.","Determina la capacitat de visió i l'emissió de llum del token."
"Has Vision","Activar visió"
"Bright Vision","Llum brillant"
"Dim Vision","Llum tènue"
"Sight Angle","Angle de visió"
"This Token references an Actor which no longer exists within the World.","Aquest token fa referència a un personatge que ja no existeix en aquest món."
"You do not own any Token with vision in this Scene","No hi ha cap token amb ""visió"" en aquesta escena"
"Hostile","Hostil"
"Neutral","Neutral"
"Friendly","Amistós"
"Never Displayed","No mostrar mai"
"When Controlled","Quan es controla"
"Hovered by Owner","En passar el ratolí (propietari)"
"Hovered by Anyone","En passar el ratolí (qualsevol)"
"Always for Owner","Sempre (propietari)"
"Always for Everyone","Sempre (tots)"
"None","Cap"
"Player","jugador"
"Trusted Player","Confiança"
"Assistant GM","Assistent"
"Game Master","Director de joc"
"Password","Contrasenya d'accés"
"User Role","Rol de l'usuari"
"User Name","Nom de l'usuari"
"Show Password","Mostrar contrasenya d'accés"
"Create Additional User","Crear un usuari"
"Delete User","Esborrar l'usuari"
"Save and Return","Llançar sessió de joc"
"User Management","Gestió d'usuaris"
"Game users updated successfully, returning to the game World.","S'han actualitzat amb èxit els usuaris del joc. Tornant al món de joc."
"You must have at least one Game Master user within your World.","Ha de tenir almenys un usuari director de joc al seu món."
"This user will be permanently deleted from the game world.","Aquest jugador serà eliminat definitivament del món de joc."
"You are about to delete a Game Master user!","Està a punt d’eliminar un director de joc."
"Wall Configuration","Configuració de mur"
"Wall Configuration [Multiple]","Configuració de mur [múltiples]"
"Customize how this wall segment restricts movement or senses.","Personalitzi la forma en què aquest segment de mur limita el moviment o la visibilitat."
"Wall Coordinates","Coordenades del mur"
"Movement Restrictions","Límit de moviment"
"Sight Restriction","Restricció del camp de visió"
"Sound Restriction","Restricció del camp sonor"
"Wall Direction","Direcció del mur"
"Is Door?","És una porta?"
"Door State","Estat de la porta"
"Update Wall","Actualitzar la porta"
"World Details","Detalls del món"
"World Description","Descripció del món"
"Audio/Video Configuration","Configuració d'àudio/vídeo"
"Configure Audio/Video","Configuri àudio/vídeo"
"Configure settings specific to the integrated Audio/Video WebRTC component","Configuri ajustos específics del WebRTC integrat d'àudio/vídeo."
"<Unknown Device>","<Dispositiu desconegut>"
"Video Capture Device","Dispositiu de captura de vídeo"
"Select which video capture device you wish to use, if any.","Seleccioni el dispositiu de captura de vídeo que desitgi utilitzar, si existeix algun."
"Audio Capture Device","Dispositiu de captura d'àudio"
"Select which audio capture device you wish to use, if any.","Seleccioni el dispositiu de captura d'àudio que desitgi utilitzar, si existeix algun."
"Audio Output Device","Dispositiu de Reproducció d'àudio"
"Select which audio output device you wish to use.","Seleccioni el dispositiu de reproducció d'àudio que desitgi utilitzar."
"Audio/Video communication was unable to start because one of the configured input devices was unavailable.","La comunicació d'àudio i vídeo no va poder iniciar-se perquè un dels dispositius d'entrada que ha configurat no estava disponible."
"Disable Sending Camera","Desactivar transmissió de vídeo"
"Disable Sending Audio","Desactivar transmissió d'àudio"
"Disable Audio Output","Desactivar la sortida d'àudio"
"Default Device","Dispositiu per defecte"
"Unavailable Device (will use Default)","Dispositiu no disponible (s'utilitzarà la configuració per defecte)"
"Choose Signalling Server","Seleccionar el servidor de senyalització"
"Signalling Server URL","URL del servidor de senyalització"
"Foundry VTT","Foundry VTT"
"Custom Server","Servidor personalitzat"
"Signalling Server Username","Usuari del servidor de senyalització"
"Signalling Server Password","Contrasenya del servidor de senyalització"
"Relay Server Configuration","Configuració del servidor de reenviament (TURN)"
"Provided by Signalling Server","Proporcionat pel servidor de senyalització"
"Custom Relay Server","Servidor de reenviament personalitzat"
"Relay Server URL","URL del servidor de reenviament"
"Relay Server Username","Usuari del servidor de reenviament"
"Relay Server Password","Contrasenya del servidor de reenviament"
"General","General"
"Devices","Dispositius"
"Server","Servidor"
"General Audio/Video Conferencing Settings can only be modified by the GM","La configuració general d'àudio/vídeo només pot ser modificada per un DJ"
"Audio/Video Conferencing Mode","Mode Conferència d'àudio/vídeo"
"Only a Game Master user may change this setting, which will require Foundry VTT to reload.","Només un usuari director de joc pot canviar aquesta configuració, en canviar-la es requerirà un reinici de Foundry VTT."
"Disabled","Desactivat"
"Audio Only","Sols àudio"
"Video Only","Sols vídeo"
"Audio/Video Enabled","Àudio i vídeo activats"
"Toggle video","Alternar vídeo"
"Configure Settings","Configurar ajustos"
"Send to Dock","Enviar a la barra"
"Pop out","Nova pestanya"
"Push-to-Talk/Mute Key","Tecla de premer-per-parlar/silenciar"
"Assign a keyboard key which, in PTT mode, enables voice while held. If not in PTT mode, the same key mutes while pressed.","Assigna una tecla que, en mode PPH, activa la captura de veu quan es manté pressionada. Si no s'està en mode PPH, la mateixa tecla silenciarà a l'usuari en ser pressionada."
"Voice Broadcasting Mode","Mode de transmissió de Veu"
"Choose how your voice is broadcast in AV calls.","Triï com es transmetrà la seva veu en les trucades de A/V."
"Always Enabled","Sempre actiu"
"Voice Activation","Activitat de veu"
"Push-to-Talk","Prémer per a parlar"
"Allow User Video","Permetre vídeo d'usuari"
"Block User Video","Bloquejar vídeo d'usuari"
"Allow User Audio","Permetre àudio d'usuari"
"Block User Audio","Bloquejar àudio d'usuari"
"Enable Your Video","Activa el vídeo"
"Disable Your Video","Desactiva el vídeo"
"Enable Your Audio","Activa l'àudio"
"Mute Your Audio","Desactiva l'àudio"
"Mute Others' Audio","Silenciar als altres"
"Unmute Others' Audio","Deixar de silenciar als altres"
"Show Players List","Mostrar Llista de Jugadors"
"Hide Players List","Ocultar Llista de Jugadors"
"Cycle Video Size","Canviar grandària de Vídeo"
"Unable to capture from your Audio devices; Sharing Video only","No es pot accedir als seus dispositius d'Àudio; Compartint sol Vídeo"
"Unable to capture from your Video devices; Sharing Audio only","No es pot accedir als seus dispositius de Vídeo; Compartint sol Àudio"
"Unable to capture from your Audio & Video devices","No es pot accedir als seus dispositius d'Àudio i Vídeo"
"Unable to capture from your Video devices","No es pot accedir als seus dispositius de Vídeo"
"Unable to capture from your Audio devices","No es pot accedir als seus dispositius d'Àudio"
"Error connection to Audio/Video Signalling Server","Error de connexió d'Àudio/Vídeo des del servidor de senyalització"
"Lost connection to the Audio/Video Signalling server. Trying to re-establish connection.","S'ha perdut la connexió d'Àudio/Vídeo amb el servidor de senyalització. Intenti restablir la connexió."
"WebRTC Error : ","Error WebRTC : "
"You cannot use Audio/Video calls unless your Foundry VTT server is using SSL certificates. See the online documentation for instructions.","Les trucades d'àudio/vídeo no es poden fer servir tret que el servidor VTT Foundry estigui utilitzant certificats SSL. Consulti la documentació en línia per a obtenir més informació."
"You cannot enable your camera because you do not have permission to broadcast your video feed.","No es pot activar la càmera perquè no té permisos per emetre vídeo."
"You cannot enable your microphone because you do not have permission to broadcast your audio feed.","No es pot activar el micròfon perquè no té permisos per emetre senyal d'àudio."
"World Title","Títol del món"
"Data Path","Ruta de les dades"
"Game System","Sistema de joc"
"Background Image","Imatge d'acollida"
"Next Session","Propera sessió"
"Reset Active Modules","Restabliment dels mòduls actius"
"Reset User Passwords","Restabliment de les contrasenyes dels usuaris"
"Launch in Safe Configuration","Executar en mode segur"
"Disables all modules and active scenes, and stops any playing audio","Desactiva tots els mòduls, les escenes actives i atura tota la reproducció d'àudio"
"World Description","Descripció del món"