"en","zh"
"units","单位"
"Weather Effect","天气效果"
"Configure an active Weather Effect which is present within this Scene.","设置该场景中的天气效果。"
"Configure Settings","配置设定"
"Controls Reference","操作手册"
"View Documentation","查看文档"
"Invitation Links","邀请链接"
"Manage Modules","管理MOD"
"View Active Modules","查看激活MOD"
"Configure Game Settings","游戏设定"
"Update Software","更新软件"
"Log Out","登出"
"User Management","配置玩家"
"Reset Defaults","重设配置"
"Save Changes","保存更改"
"Return to Setup","返回安装"
"General Information","基本信息"
"Game Settings","游戏设定"
"Help and Documentation","帮助文档"
"Game Access","游戏访问"
"Community Wiki Pages","社区WIKI"
"Token Vision Animation","指示物视觉动画"
"Animate Token vision and light changes during Token movement animations. Disabling this will improve performance for lower-end machines.","在指示物移动动画期间对指示物视觉和灯光变化进行动画处理。禁用此功能将提高低端计算机的性能。"
"Light Source Animation","光源动画"
"Allow light source animations. Disabling this will improve performance for lower-end machines.","启用光源动画。禁用该项可以提升低配置机器的性能。"
"Language Preference","语言偏好"
"Change the displayed language for Foundry Virtual Tabletop.","更改FVTT的显示语言。"
"Left-Click to Release Objects","左键单击取消"
"When enabled, a left click on empty canvas space will release any currently controlled objects. If disabled, objects are released by selecting an empty space, shift-clicking the object, or pressing the escape key.","启用时，左键单击画布空白处可以取消选择当前控制的对象。禁用时，可通过框选画布空白处、SHIFT+点击对象、按下ESC键来取消选择。"
"Enable Chat Bubbles","启用聊天气泡"
"Configure whether or not chat bubbles will be displayed above Tokens for in-character and emote type chat messages.","设置是否在指示物发言时在其顶上显示聊天气泡。"
"Pan to Token Speaker","聚焦发言"
"Configure whether to automatically pan the camera to a speaking token when it displays a chat bubble.","设置在指示物发言显示聊天气泡时是否将画布平移到其身上。"
"Maximum Framerate","最大帧率"
"Limit the maximum framerate at which Foundry Virtual Tabletop will render canvas updates. Lowering this value may improve application performance for less powerful hardware.","限制FVTT渲染画布更新的最大帧速率。降低此值可以提升低配置机器的性能。"
"Zoomed Texture Antialiasing","缩放纹理抗锯齿"
"Compute mipmaps to antialias sprite textures at lower levels of zoom. This is a client setting as different users may prefer different visual styles.","以较低的缩放比例将mipmap计算为抗锯齿精灵纹理。 这是一个客户端设置，因为不同的用户可能喜欢不同的视觉样式。"
"Enable Soft Shadows","启用软阴影"
"Enable soft shadows for more beautiful dynamic lighting, or disable it for improved performance on machines with lower-end hardware.","启用软阴影以获得漂亮的动态光照。禁用它可以提升低配置机器的性能。"
"Core Settings","核心设定"
"Module Settings","MOD设定"
"System Settings","系统设定"
"Token Drag Vision","指示物拖动视野"
"When enabled, vision and lighting for a Token is previewed in real time during a left-click drag workflow. This is disabled by default because it may promote undesirable meta-gaming behaviors.","启用时，鼠标拖动指示物会实时显示视野和光照。默认为禁用，因为其可能会导致游戏元行为错误。"
"Core Software Version","核心软件版本"
"If an update to the core Foundry Virtual Tabletop software is available, you may apply it here. You are currently using version {coreVersion}.","如果有FoundryVTT核心软件的更新，则可以在此处应用。您当前正在使用{coreVersion}版本。"
"Default Language","默认语言"
"You may choose a default language for the application by choosing a module which provides the core translation files for that language.","您可以通过选择提供该语言核心翻译文件的MOD来为应用程序选择默认语言。"
"Software Configuration","软件设置"
"Software Update","软件更新"
"A {type} update to {channel} version {version} is now available!","现在可以升级到{channel}版本{version}的软件！"
"Configuration","设置"
"These fields customize the behavior of the Foundry Virtual Tabletop application. Changes will require the server to restart.","以下属性自定义FoundryVTT服务器的行为。进行更改时要谨慎。您将需要重新启动软件才能使这些更改生效。"
"Optimize Static Files","静态文件优化"
"Reduce network traffic by serving minified static JavaScript and CSS files. Enabling this setting is recommended for most users, but module developers may wish to disable it.","缩小静态JavaScript和CSS文件来减少网络流量。建议大多数用户启用此设置，MOD开发人员可能希望禁用它。"
"Add-on Modules","MOD"
"Game Systems","游戏系统"
"Configuration and Setup","安装与设置"
"Update Software","软件更新"
"Update All","全部更新"
"Software Update Channel","软件更新通道"
"You may choose an update channel to control the types of updates you wish to receive for the core Foundry Virtual Tabletop software. If you do not have a specific reason to change this, it is recommended to consume the Release channel.","您可以选择一个更新通道来控制您希望收到的核心FoundryVTT软件的更新类型。如果您没有更改此更改的特定原因，建议使用Release通道。"
"Update","检查更新"
"Check For Update","检查更新"
"Alpha (Unstable)","Alpha (不稳定)"
"Beta (Release Candidate)","Beta (候选)"
"Release (Stable)","Release (稳定)"
"Uninstall","卸载"
"Create World","创建世界"
"Delete World","删除"
"Edit World","编辑"
"Launch World","启动"
"Game Worlds","游戏世界"
"Requires Update","需要更新"
"Requires System Update","需要更新系统"
"Requires Dependency","需要更新相关内容"
"Requires Core Update","需要更新核心"
"Compatibility Unknown","未知兼容性"
"Compatibility Risk","兼容性风险"
"Manifest URL","在线安装地址（URL）"
"You can install any package by providing a direct link to its JSON manifest URL.","你可以输入一个网络地址（Manifest URL）来安装。"
"Install Module","安装MOD"
"Install System","安装系统"
"{type} {name} was installed successfully","{type} {name} 安装成功"
"Installation failed: {message}","安装失败: {message}"
"Install World","安装世界"
"uninstalled successfully","卸载成功"
"Uninstallation failed","卸载失败。"
"updated successfully","更新成功"
"Update failed","更新失败。"
"Loading Available Packages","正在加载可用安装包"
"Filter Packages","过滤器"
"You can filter available packages by name.","你可以过滤可用安装包，或通过标题名搜索安装包"
"Package Categories","安装包分类"
"Installed","已安装"
"Not Owned","未拥有"
"All Packages","全部"
"Installed Only","已安装"
"Uninstalled Only","未安装"
"{title} has {number} dependencies which are not yet installed.","您安装的软件包还有 {number} 个依赖项尚未安装。"
"Install Package Dependencies","安装软件包依赖项。"
"You may not be able to use this package if these dependencies are not present. Do you wish to install them automatically?","如果不安装这些依赖项，可能无法正确运行。 您要自动安装吗？"
"You have chosen not to install the required dependency packages for {title}. You will need to install them manually.","您已选择不为 {title} 安装所需的依赖项。 您将需要手动安装它们。"
"Successfully installed {title} and {number} dependencies.","成功安装了 {title} 和 {number} 依赖项。"
"An update is available for {name} but cannot be installed because it requires core software version {vreq} and you are currently using version {vcur}.","{name} 有一个可用的更新，但无法安装，因为它需要核心软件版本{vreq}，而您当前正在使用版本{vcur}。"
"In order to update Foundry Virtual Tabletop you will need to be connected to the internet and have a valid software license.","为了更新FoundryVTT，您需要连接到互联网并拥有有效的软件许可证。"
"This update is a new major version of the Foundry Virtual Tabletop software. Installing this update will require some installed modules which may not yet be compatible to be disabled.","此更新是FVTT软件的新主要版本。安装此更新需要禁用某些可能不兼容的已安装MOD。"
"Download Update {version}","下载更新 {version}"
"An update to Foundry Virtual Tabletop version {version} is available!","FVTT版本 {version} 更新已发布！"
"World Data Migration Required","需要迁移世界数据"
"<p>Launching the world <strong>{world}</strong> will migrate its data model from an older core software version {oldVersion} to the currently installed version {newVersion}.</p><p>As part of this process, <strong>{nIncompatible} out of {nModules} installed modules</strong> which may not yet be compatible with the new version will be automatically disabled. You may re-enable them manually if you wish.</p><p>Please check for any available updates to your game systems and modules, and please be sure to periodically back up your critical world data. Would you like to proceed?</p>","<p>启动世界<strong> {world} </strong>会将其数据模型从较旧的核心软件版本{oldVersion}迁移到当前安装的版本{newVersion}。</p> <p> 在此过程中，可能与新版本不兼容的{nModules}个已安装MOD中的<strong> {nIncompatible} </ strong>。 您可以根据需要手动重新启用它们。</ p> <p>请检查游戏系统和MOD的任何可用更新，并请确保定期备份您的重要世界数据。 您要继续吗？</ p>"
"Foundry Virtual Tabletop &bull; Administrator Access","管理员权限"
"Administrator Password","管理员密码"
"You may assign a special administrator password which is required in order to access this setup screen.","你可以为安装与设置界面指定一个特殊的管理密码。"
"Admin Log Out","管理员登出"
"AWS Configuration Path","AWS路径"
"You may provide an AWS configuration file for S3 integration. The path is absolute or relative to the Config subdirectory of user data.","您可以提供一个用于S3集成的AWS配置文件。请使用绝对路径，或用户数据目录中config子目录的相对路径。"
"Port","端口"
"You may choose which port Foundry Virtual Tabletop uses for TCP connection traffic and enable or disable Universal Plug and Play (UPnP).","您可以选择FVTT用于TCP连接通信的端口，并启用或禁用通用即插即用（UPnP）。"
"Enable UPnP?","启用UPnP"
"User Data Path","用户数据路径"
"Configure the location where your user data including worlds, systems and modules are stored.","设置存储用户数据（包括世界，系统和MOD）的位置。"
"Default World","默认世界"
"You may choose one of your available worlds to automatically launch when the software is started.","您可以选择在软件启动时自动启动一个可用的世界。"
"SSL Certificate","SSL 证书"
"SSL Private Key","SSL 密钥"
"You may run the server using secure socket layer (SSL) encryption by providing paths to certificate and key files. Paths are absolute or relative to the Config subdirectory in user data.","您可以通过提供证书和密钥文件的路径来使用安全套接字层（SSL）加密来运行服务器。请使用绝对路径，或用户数据目录中config子目录的相对路径。"
"This Sheet","当前卡"
"Default Sheet","默认"
"Override which sheet type you would like to use for this specific entity.","设置仅用于当前卡的模版。"
"Set the default sheet type used for this entity type (GM Only).","设置用于该实体类型的默认模版（仅GM）。"
"You do not have sufficient permissions to view this entity sheet.","你没有查看此卡的权限。"
"Save Sheet Configuration","保存设置"
"View Character Artwork","查看人物图像"
"Collapse or Expand","展开/折叠"
"Delete","删除"
"Duplicate","复制"
"Export Data","导出数据"
"Ambient Sound Configuration","设置环境音"
"Configure the ambient sound to play an audio file when tokens move within it's radius.","设置当指示物移入其范围时播放的的音频文件。"
"Create Ambient Sound","创建环境音"
"Update Ambient Sound","更新环境音"
"Source File Path","资源路径"
"Effect Radius","效果范围"
"Local Sound","本地声音"
"Global Sound","全局声音"
"Volume Easing","音量减轻"
"Adjust the volume level of the sound as Tokens move closer to the origin.","当指示物接近原点时，调节声音的音量。"
"Maximum Volume","最大音量"
"Define the maximum volume of the sound at it's origin point (if easing) or everywhere in the area.","设定原点的最大音量（如果减轻）或该区域各处的最大音量。"
"Clear Folder","清除文件夹"
"Folder Color","文件夹颜色"
"Create Folder","创建文件夹"
"Collapse All Folders","折叠全部文件夹"
"Delete All","删除全部内容"
"Edit Folder","编辑文件夹"
"Export to Compendium","导出为合集"
"Folder Name","文件夹名"
"Remove Folder","移除文件夹"
"Alphabetical","按字母排序"
"Manual","手动排序"
"Update Folder","更新文件夹"
"Export Content","导出内容"
"You may export contained entities from this folder into an unlocked Compendium pack of the appropriate type.","你可以将包含的实体从此文件夹导出到适当类型的未锁定合集包中。"
"Destination Pack","目标包"
"Merge By Name?","按名称合并"
"There are no unlocked compendium packs available for {type} entities which you can export to.","没有可用的未锁定合集包可供你导出 {type} 。"
"Create Rollable Table","创建随机表"
"Create a new Rollable Table entity using the contents of this Folder as table results?","使用此文件夹的内容作为表格结果来创建新的随机表？"
"None","无"
"Limited","受限"
"Observer","旁观者"
"Owner","持有者"
"Default","默认"
"No Change","不改变"
"All Players","所有玩家"
"Configure Permissions","设置权限"
"Open Permission Configuration","打开权限设置"
"Fine tune the permitted actions which are allowed to Users for each role.","设置每个用户组可用的操作。"
"Permission Configuration","权限设置"
"Configure which User role has permission to perform which action. Note that some actions cannot be disabled for Game Master users. Some changes may not take effect until the game is reloaded.","设置哪些用户有权限执行某些操作。注意无法禁用GM的某些操作。一些操作在重新加载前不会生效。"
"Configure access for all Entities within this Folder. Changes will be applied to all contained Entities, excluding the contents of sub-folders.","设置此文件夹内所有实体的访问权限。更改将应用于所有包含的实体，子文件夹的内容除外。"
"Configure access to this specific Entity, allowing each User to be assigned a different level of visibility.","设置对此特定实体的访问权限，从而可以为每个用户分配不同级别的可见性。"
"Permission","权限"
"User Role Permissions","用户组权限"
"Reset Defaults","默认值"
"Save Configuration","保存设置"
"Allow Broadcasting Audio","允许公频语音"
"Allow players with this role to broadcast audio when using A/V chat integration.","在音/视频聊天中，允许该用户组的玩家进行公频语音。"
"Allow Broadcasting Video","允许公频视频"
"Allow players with this role to broadcast video when using A/V chat integration.","在音/视频聊天中，允许该用户组的玩家进行公频视频。"
"Create New Actors","创建角色"
"Allow players with this role to create new Actors in the World.","允许该用户组在世界中创建新角色。"
"Use Drawing Tools","使用绘图工具"
"Allow players with this role to create Drawings using the drawing tools.","允许该用户组在世界中使用绘图工具。"
"Create New Items","创建物品"
"Allow players with this role to create new Items in the World.","允许该用户组在世界中创建新物品。"
"Use File Browser","浏览资源管理器"
"Allow players with this role to browse through available files in the File Browser.","允许该用户组浏览可用的文件资源。"
"Upload New Files","上传文件"
"Allow players with this role to upload content to the server using the File Browser.","允许该用户组上传内容到服务器。"
"Create Journal Entries","创建日志"
"Allow players with this role to create new Journal Entries in the Journal sidebar.","允许用户组在边栏的日志目录中创建日志。"
"Use Script Macros","使用脚本宏"
"Allow players with this role to use JavaScript macros which access the API.","允许该用户组使用JavaScript宏。"
"Whisper Private Messages","私聊"
"Allow players with this role whisper private messages that the Game Master cannot see.","允许该用户组进行GM无法看见的私聊。"
"Modify Configuration Settings","修改配置设定"
"Allow players with this role to modify game settings and enable or disable modules.","允许该用户组修改游戏设定和激活/关闭MOD。"
"Display Mouse Cursor","显示鼠标光标"
"Display the position of the player's mouse cursor which illustrates where the user is looking on the canvas.","显示玩家鼠标光标的位置，该位置说明了用户在画布上的观看位置。"
"Display Ruler Measurement","显示标尺"
"Display measurement using the ruler tool to other connected players.","使用标尺工具向其他连接的玩家显示测量的距离。"
"Create Measured Template","创建量板"
"Allow players with this role to create templates for area-of-effect measurement.","允许该用户组创建测量范围用的量板。"
"Create New Tokens","放置指示物"
"Allow players with this role to place Tokens for Actors they own on the game canvas.","允许该用户组从角色目录中拖放其拥有的指示物到屏幕上。"
"Configure Token Settings","设置指示物"
"Allow players with this role to configure the settings for Tokens that they own.","允许该用户组设置其拥有的指示物。"
"Open and Close Doors","开/关门"
"Allow players with this role interact with doors defined on the Walls Layer.","允许该用户组与门进行交互。"
"Import Data","导入数据"
"Create Scene","创建场景"
"Search Scenes","搜索场景"
"Chat Log","聊天记录"
"Combat Tracker","战斗板"
"Scenes Directory","场景目录"
"Actors Directory","角色目录"
"Items Directory","物品目录"
"Journal Entries","日志目录"
"Audio Playlists","播放列表"
"Compendium Packs","合集包"
"Game Settings","游戏设定"
"Rollable Tables","随机表"
"View Token Artwork","查看指示物图像"
"Jump To Pin","跳转标记"
"Animate Roll Tables?","显示动画"
"Configure whether to display a roulette-style animation when drawing from a Roll Table.","从随机表获取结果时显示转盘式的动画。"
"Create Table","创建随机表"
"Table Description","随机表描述"
"Display Roll to Chat?","在聊天窗显示"
"Roll Table Formula","随机表公式"
"Search Tables","搜索"
"Table Configuration","随机表设置"
"Normalize Result Weights","规范化结果权重"
"Draw with Replacement?","可重复获取"
"Reset","重置"
"Add New Result","新增结果"
"Result Type","结果类型"
"Result Details","结果详情"
"Delete Result","删除结果"
"Weight","权重"
"Range","范围"
"Roll","投掷"
"Toggle Drawn Status","切换绘制状态"
"Update","更新"
"Cone Template Type","锥状量板类型"
"Choose how the area of effect for cone templates should be defined.","定义锥状量板的影响区域。"
"Flat","平直"
"Round","圆角"
"Assign Token","分配指示物"
"You must select one existing Token to assign as the new prototype configuration.","设置新的模板必须选择一个现存指示物。"
"Updated prototype Token configuration for {name}","更新了 {name} 的指示物模板"
"Attribute Bars","属性条"
"Single Values","单一值"
"Represented Actor","关联角色"
"Token Disposition","指示物立场"
"Configure which Actor this Token is associated with.","设置此指示物所关联的角色。"
"Link Actor Data","同步关联角色数据"
"Token Name","指示物名称"
"Display Name","显示名称"
"Alternate Actor Tokens","替代指示物"
"Configure the Token image and its displayed size and scale.","设置指示物图像，以及图像的大小和比例。"
"Token Image Path","指示物图像路径"
"Mirror Image Horizontally","水平镜像"
"Mirror Image Vertically","垂直镜像"
"Configure the Token's position, orientation, and elevation.","设置指示物的位置、朝向、和高度。"
"Lock Rotation","锁定旋转"
"Randomize Wildcard Images","随机化图像"
"Configure the resource bars which are tracked for the Token.","设置指示物资源条所追踪的属性。"
"Bar 1 Attribute","资源条1 属性"
"Bar 1 Data","资源条1 数据"
"Bar 2 Attribute","资源条2 属性"
"Bar 2 Data","资源条2 数据"
"Display Bars","显示资源条"
"Token Configuration","指示物设置"
"Prototype Token","指示物模版"
"Tint Color","着色"
"Update Token","更新指示物"
"Configure the vision capability and light emission of this Token.","设置指示物的视觉和光照。"
"Has Vision","有视觉"
"Bright Vision","明亮视觉"
"Dim Vision","微光视觉"
"Sight Angle","视觉角度"
"Hostile","敌对"
"Neutral","中立"
"Friendly","友好"
"Never Displayed","不显示"
"When Controlled","控制时"
"Hovered by Owner","拥有者悬停"
"Hovered by Anyone","任何人悬停"
"Always for Owner","拥有者可见"
"Always for Everyone","任何人可见"
"None","无"
"Player","玩家"
"Trusted Player","信任玩家"
"Assistant GM","管理员助手"
"Game Master","游戏管理员"
"Password","密码"
"User Role","用户组"
"User Name","用户名"
"Show Password","显示密码"
"Create Additional User","新增用户"
"Delete User","删除用户"
"Save and Return","保存并返回"
"User Management","用户管理"
"Game users updated successfully, returning to the game World.","成功更新用户设置，正在返回游戏世界。"
"You must have at least one Game Master user within your World.","你的世界必须拥有至少一个游戏管理员。"
"Wall Configuration","配置墙体"
"Wall Configuration [Multiple]","配置墙体 [多重]"
"Customize how this wall segment restricts movement or senses.","定制墙体限制移动和视线的内容。"
"Wall Coordinates","墙体坐标"
"Movement Restrictions","限制移动"
"Wall Direction","墙方位"
"Is Door?","门？"
"Door State","门状态"
"Update Wall","更新墙"
"World Details","世界细节"
"World Description","世界描述"
"Audio/Video Configuration","音/视频配置"
"Configure Audio/Video","设置音/视频"
"Configure settings specific to the integrated Audio/Video WebRTC component","配置特定于集成音/视频WebRTC组件的设置"
"<Unknown Device>","<未知设备>"
"Video Capture Device","视频捕获设备"
"Select which video capture device you wish to use, if any.","选择你想要用来捕获视频的设备。"
"Audio Capture Device","语音捕获设备"
"Select which audio capture device you wish to use, if any.","选择你想要用来捕获音频的设备。"
"Audio Output Device","语音输出设备"
"Select which audio output device you wish to use.","选择你想要用来播放音频的设备。"
"Audio/Video communication was unable to start because one of the configured input devices was unavailable.","音/视频聊天不可用。因为指定的输入设备之一不可用"
"Disable Sending Camera","禁用摄像头源"
"Disable Sending Audio","禁用音频源"
"Disable Audio Output","禁用音频输出"
"Default Device","默认设备"
"Unavailable Device (will use Default)","不可用设备 (将使用默认设备)"
"Choose Signalling Server","选择通信服务器"
"Signalling Server URL","通信服务器URL"
"Foundry VTT","Foundry VTT"
"Custom Server","自定服务器"
"Signalling Server Username","通信服务器用户名"
"Signalling Server Password","通信服务器密码"
"Relay Server Configuration","配置中继服务器"
"Provided by Signalling Server","由通信服务器提供"
"Custom Relay Server","自订中继服务器"
"Relay Server URL","中继服务器URL"
"Relay Server Username","中继服务器用户名"
"Relay Server Password","中继服务器密码"
"General","常规"
"Devices","设备"
"Server","服务器"
"General Audio/Video Conferencing Settings can only be modified by the GM","常规音/视频只能由GM设置。"
"Audio/Video Conferencing Mode","音/视频会议模式"
"Only a Game Master user may change this setting, which will require Foundry VTT to reload.","只有GM可以更改这些设定，重启软件后生效。"
"Disabled","禁用"
"Audio Only","仅语音"
"Video Only","仅视频"
"Audio/Video Enabled","启用音/视频"
"Toggle video","切换视频"
"Configure Settings","设置"
"Send to Dock","发送到Dock"
"Pop out","弹出"
"Push-to-Talk/Mute Key","发言/静音键"
"Assign a keyboard key which, in PTT mode, enables voice while held. If not in PTT mode, the same key mutes while pressed.","设置PTT模式下启用语音的按键。如果不PTT模式下，按键会被无效化。"
"Voice Broadcasting Mode","语音模式"
"Choose how your voice is broadcast in AV calls.","选择你的语音在音/视频通话中调用的方式。"
"Always Enabled","总是启用"
"Voice Activation","语音激活"
"Push-to-Talk","按键发言"
"Allow User Video","允许用户视频"
"Block User Video","阻止用户视频"
"Allow User Audio","允许用户语音"
"Block User Audio","阻止用户语音"
"Enable Your Video","启用视频"
"Disable Your Video","禁用视频"
"Enable Your Audio","启用语音"
"Mute Your Audio","禁用语音"
"Mute Others' Audio","禁用其他用户的语音"
"Unmute Others' Audio","仅启用其他用户的语音"
"Show Players List","显示玩家列表"
"Hide Players List","隐藏用户列表"
"Cycle Video Size","循环视频大小"
"Unable to capture from your Audio devices; Sharing Video only","无法获取你的音频设备; 仅输出视频"
"Unable to capture from your Video devices; Sharing Audio only","无法获取你的视频设备; 仅输出音频"
"Unable to capture from your Audio & Video devices","无法获取你的音频和视频设备"
"Unable to capture from your Video devices","无法从你的视频设备获取"
"Unable to capture from your Audio devices","无法从你的音频/视频设备获取"
"Error connection to Audio/Video Signalling Server","音频/视频信号连接服务器时出错"
"Lost connection to the Audio/Video Signalling server. Trying to re-establish connection.","音频/视频信号服务器失去连接。尝试重新建立连接。"
"WebRTC Error : ","WebRTC错误: "
"You cannot use Audio/Video calls unless your Foundry VTT server is using SSL certificates. See the online documentation for instructions.","不能使用音频/视频通话，除非你的FVTT服务器使用SSL证书。有关说明请参阅联机文档。"
"You cannot enable your camera because you do not have permission to broadcast your video feed.","无法启用摄像头。你没有使用视频聊天的权限。"
"You cannot enable your microphone because you do not have permission to broadcast your audio feed.","无法启动麦克风。你没有使用语音聊天的权限。"